rank	word	korean	tier
213	haber	있다, 하다	Top1-500
214	hombre	남자, 사람	Top1-500
217	mujer	여자, 아내	Top1-500
219	será	~일 것이다	Top1-500
221	casi	거의	Top1-500
226	pasado	과거, 지난	Top1-500
227	presidente	대통령, 회장	Top1-500
235	dentro	안에	Top1-500
236	españa	스페인	Top1-500
239	lado	옆, 측면	Top1-500
243	misma	같은	Top1-500
244	pueblo	마을, 민족	Top1-500
246	esos	그	Top1-500
248	mujeres	여자들, 여성들	Top1-500
249	política	정치, 정책	Top1-500
251	punto	점, 지점	Top1-500
254	alguna	어떤	Top1-500
255	equipo	팀, 장비	Top1-500
256	guerra	전쟁	Top1-500
261	ante	~앞에서	Top1-500
262	d	디	Top1-500
263	dar	주다	Top1-500
264	embargo	그러나, 압류	Top1-500
267	importante	중요한	Top1-500
268	información	정보	Top1-500
275	san	성, 성인	Top1-500
276	social	사회의, 사교적이다	Top1-500
277	ejemplo	예, 예시	Top1-500
281	millones	백만	Top1-500
282	número	번호, 숫자	Top1-500
284	algunas	몇몇, 어떤	Top1-500
287	madre	어머니	Top1-500
289	siendo	~이면서, ~이어서	Top1-500
291	centro	중심, 센터	Top1-500
292	derecho	권리, 오른쪽	Top1-500
294	grandes	큰, 위대한	Top1-500
295	haciendo	하고 있다	Top1-500
296	hombres	남자들	Top1-500
297	nuestros	우리의	Top1-500
304	mierda	젠장, 똥	Top1-500
305	muerte	죽음	Top1-500
306	problemas	문제들	Top1-500
308	tras	뒤에, ~후에	Top1-500
309	través	~를 통해, 가로질러	Top1-500
312	podría	할 수 있을 것이다	Top1-500
313	realidad	현실, 실제	Top1-500
314	the	더	Top1-500
318	eran	이었다	Top1-500
320	incluso	심지어, ~조차	Top1-500
322	real	진짜의, 왕의	Top1-500
324	c	씨	Top1-500
326	desarrollo	개발, 발전	Top1-500
328	sociedad	사회	Top1-500
329	tema	주제, 테마	Top1-500
330	varios	여러, 몇몇의	Top1-500
331	esas	그	Top1-500
333	nivel	수준, 레벨	Top1-500
336	sería	~일 것이다	Top1-500
339	hemos	했다	Top1-500
340	juego	놀이, 경기, 게임	Top1-500
345	proyecto	프로젝트, 계획	Top1-500
349	uso	사용	Top1-500
350	artículo	기사, 물품	Top1-500
354	países	국가, 나라	Top1-500
360	i	나	Top1-500
361	madrid	마드리드	Top1-500
362	mayoría	대다수, 대부분	Top1-500
366	tierra	땅, 지구, 흙	Top1-500
368	único	유일한, 독특한	Top1-500
370	programa	프로그램	Top1-500
371	segundo	두 번째, 초	Top1-500
373	universidad	대학교	Top1-500
374	último	마지막	Top1-500
375	cabeza	머리	Top1-500
377	haya	있기를	Top1-500
378	internacional	국제적인	Top1-500
380	palabras	단어들, 말들	Top1-500
382	público	대중, 공공의	Top1-500
383	seguir	따라가다, 계속하다	Top1-500
384	servicio	서비스, 봉사	Top1-500
385	situación	상황	Top1-500
386	ayuda	도움, 돕다	Top1-500
387	juan	후안	Top1-500
388	libro	책	Top1-500
389	siguiente	다음의	Top1-500
391	datos	데이터, 자료	Top1-500
392	dejar	두다, 떠나다	Top1-500
393	educación	교육	Top1-500
394	proceso	과정, 절차	Top1-500
395	sentido	의미, 감각, 느껴진	Top1-500
397	clase	수업, 종류, 반	Top1-500
398	cuanto	얼마나, ~만큼	Top1-500
399	derechos	권리들	Top1-500
400	ello	그것	Top1-500
404	s	에스	Top1-500
406	9	9 (숫자)	Top1-500
408	ningún	어떤 ~도 아닌	Top1-500
409	orden	명령, 순서	Top1-500
410	puesto	놓인, 자리	Top1-500
412	realmente	정말로, 진짜	Top1-500
413	alto	높은, 키가 큰	Top1-500
414	demás	나머지, 그 밖의	Top1-500
416	diferentes	다른, 여러 가지의	Top1-500
418	junto	함께, 같이	Top1-500
420	medios	수단, 매체, 절반	Top1-500
421	ninguna	어떤 ~도 아닌	Top1-500
422	personal	개인적인, 직원	Top1-500
424	trata	다루다, 대하다	Top1-500
425	video	비디오	Top1-500
427	web	웹	Top1-500
428	base	기지, 기초	Top1-500
429	camino	길, 도로	Top1-500
434	m	엠	Top1-500
435	paz	평화	Top1-500
436	policía	경찰	Top1-500
439	sitio	장소, 곳	Top1-500
441	tuvo	가졌다	Top1-500
442	zona	구역, 지역	Top1-500
443	calle	거리, 길	Top1-500
446	mundial	세계의	Top1-500
448	ojos	눈들	Top1-500
449	os	너희를	Top1-500
450	pensar	생각하다	Top1-500
451	servicios	서비스들, 화장실	Top1-500
452	sociales	사회적인	Top1-500
453	allí	저기	Top1-500
454	atención	주의, 관심	Top1-500
455	debería	해야 한다	Top1-500
456	escuela	학교	Top1-500
457	julio	7월, 훌리오	Top1-500
458	pueda	할 수 있다	Top1-500
460	respecto	관련하여, ~에 대해	Top1-500
461	segunda	두 번째	Top1-500
463	ve	가다, 보다	Top1-500
465	capital	수도, 자본	Top1-500
466	casos	사건들, 경우들	Top1-500
467	etc	등, 기타 (약어)	Top1-500
468	libre	자유로운, 빈	Top1-500
470	mejores	더 나은, 최고	Top1-500
471	población	인구, 마을	Top1-500
472	quienes	누가, 누구들	Top1-500
473	relación	관계	Top1-500
476	varias	여러, 몇몇의	Top1-500
477	bastante	충분히, 꽤	Top1-500
478	cultura	문화, 교양	Top1-500
479	debido	~때문에, 마땅한	Top1-500
480	difícil	어렵다	Top1-500
481	dio	주었다	Top1-500
482	estaban	있었다	Top1-500
484	fuerte	강한, 세게	Top1-500
485	fácil	쉽다	Top1-500
491	pregunta	질문, 묻다	Top1-500
492	rey	왕	Top1-500
494	apoyo	지원, 지지	Top1-500
495	dado	주어진	Top1-500
496	deja	두다, 그만두다	Top1-500
497	demasiado	너무, 지나치게	Top1-500
499	fuerza	힘, 강제	Top1-500
501	josé	호세	Top501-1000
502	manos	손들	Top501-1000
505	oficial	공식적인, 장교	Top501-1000
506	propio	자신의, 고유한	Top501-1000
508	chile	칠레	Top501-1000
510	deben	해야 한다	Top501-1000
511	empresas	회사들	Top501-1000
512	encontrar	찾다, 발견하다	Top501-1000
514	marzo	3월	Top501-1000
515	peor	더 나쁜, 최악	Top501-1000
516	serie	시리즈, 연속	Top501-1000
520	asi	그렇게, 이렇게	Top501-1000
521	edad	나이, 연령	Top501-1000
522	futuro	미래	Top501-1000
523	justicia	정의, 사법	Top501-1000
525	nuestras	우리의	Top501-1000
526	pesar	무게를 달다, 유감	Top501-1000
528	venezuela	베네수엘라	Top501-1000
530	cantidad	양, 수량	Top501-1000
531	corazón	심장, 마음	Top501-1000
533	encuentra	찾다, 만나다	Top501-1000
534	existe	존재하다, 있다	Top501-1000
535	imagen	이미지, 모습	Top501-1000
536	importa	중요하다	Top501-1000
538	octubre	10월	Top501-1000
539	p	p (알파벳 글자)	Top501-1000
540	político	정치적인, 정치인	Top501-1000
541	principal	주된, 주요한	Top501-1000
542	propia	자신의, 고유한	Top501-1000
545	volver	돌아오다, 돌아가다	Top501-1000
547	actual	현재의, 지금의	Top501-1000
548	ambos	둘 다, 양쪽	Top501-1000
549	elecciones	선거, 선택	Top501-1000
550	estudio	공부, 스튜디오	Top501-1000
551	grupos	그룹, 집단	Top501-1000
554	modo	방법, 방식	Top501-1000
555	palabra	단어, 말	Top501-1000
557	sean	~이기를	Top501-1000
558	tenido	가지다	Top501-1000
559	abril	4월	Top501-1000
560	campo	들판, 분야	Top501-1000
561	hubiera	있었을 것이다	Top501-1000
562	internet	인터넷	Top501-1000
564	nuevos	새로운	Top501-1000
565	plan	계획	Top501-1000
566	puntos	점들, 포인트	Top501-1000
567	pública	공공의, 공공장소	Top501-1000
568	región	지역	Top501-1000
569	significa	의미하다	Top501-1000
570	comunidad	공동체, 커뮤니티	Top501-1000
571	dirección	방향, 주소	Top501-1000
572	habían	그들은 ~해 있었다	Top501-1000
573	has	했다	Top501-1000
574	investigación	조사, 연구, 수사	Top501-1000
575	junio	6월	Top501-1000
577	nuevas	새로운	Top501-1000
578	partidos	정당들, 경기들	Top501-1000
579	partir	떠나다, 나누다	Top501-1000
580	película	영화	Top501-1000
581	q	q (알파벳 글자)	Top501-1000
582	república	공화국	Top501-1000
583	resto	나머지	Top501-1000
586	dan	그들이 주다	Top501-1000
588	hacerlo	그것을 하다	Top501-1000
589	llamado	불린, 부름	Top501-1000
591	movimiento	움직임, 운동	Top501-1000
592	noviembre	11월	Top501-1000
594	precio	가격, 값	Top501-1000
595	respuesta	대답, 답변	Top501-1000
597	simplemente	단순히, 그저	Top501-1000
598	x	엑스	Top501-1000
599	única	유일한	Top501-1000
600	agosto	8월	Top501-1000
601	aun	여전히, 아직	Top501-1000
602	b	비	Top501-1000
603	cargo	직책, 책임	Top501-1000
605	cuales	어떤 것들, 어느 것들	Top501-1000
606	ellas	그녀들	Top501-1000
610	leer	읽다	Top501-1000
611	llama	부르다, 전화하다, 불꽃	Top501-1000
613	miembros	구성원들, 회원들	Top501-1000
614	n	엔	Top501-1000
617	producción	생산, 제작	Top501-1000
618	siglo	세기	Top501-1000
619	ustedes	당신들	Top501-1000
620	0	0 (숫자)	Top501-1000
621	cabo	끝, 상병	Top501-1000
622	común	공통의, 흔한	Top501-1000
623	economía	경제	Top501-1000
624	entiendo	이해하다	Top501-1000
626	febrero	2월	Top501-1000
627	hablando	말하고 있다	Top501-1000
628	haga	하다	Top501-1000
629	necesita	필요하다	Top501-1000
630	opinión	의견, 생각	Top501-1000
632	organización	조직	Top501-1000
633	partes	부분들, 장소들	Top501-1000
634	página	페이지, 쪽	Top501-1000
636	santa	성녀, 거룩한	Top501-1000
639	acción	행동, 액션	Top501-1000
640	arte	예술	Top501-1000
641	condiciones	조건들, 상태	Top501-1000
642	conocer	알다, 만나다	Top501-1000
645	noticias	뉴스, 소식	Top501-1000
646	plaza	광장, 자리	Top501-1000
647	septiembre	9월	Top501-1000
648	u	또는	Top501-1000
649	usar	사용하다	Top501-1000
650	valor	용기, 가치	Top501-1000
652	calidad	품질, 질	Top501-1000
653	causa	원인, 이유	Top501-1000
654	central	중앙의	Top501-1000
655	director	감독, 이사	Top501-1000
656	duda	의심, 의문	Top501-1000
657	europa	유럽	Top501-1000
658	fecha	날짜	Top501-1000
661	l	엘	Top501-1000
662	necesario	필요한	Top501-1000
663	obras	작품, 공사	Top501-1000
664	políticos	정치가들, 정치적인	Top501-1000
666	resultado	결과	Top501-1000
668	cambiar	바꾸다, 변하다	Top501-1000
670	colombia	콜롬비아	Top501-1000
671	hermano	형제	Top501-1000
672	libros	책들	Top501-1000
677	últimos	마지막의, 최근의	Top501-1000
678	acerca	~에 관하여	Top501-1000
679	acá	여기	Top501-1000
680	alrededor	주위에, 둘레	Top501-1000
681	campaña	캠페인, 운동	Top501-1000
683	ejército	군대, 육군	Top501-1000
684	encima	위에, 게다가	Top501-1000
685	estudios	공부, 스튜디오	Top501-1000
686	interés	관심, 이자	Top501-1000
689	negro	검은, 흑인	Top501-1000
690	niño	아이, 소년	Top501-1000
691	objetivo	목표, 목적	Top501-1000
692	of	~의	Top501-1000
693	popular	인기 있는	Top501-1000
694	principio	시작, 원칙	Top501-1000
695	provincia	주, 도 (지방 행정구역)	Top501-1000
696	recursos	자원, 수단	Top501-1000
697	red	네트워크, 그물	Top501-1000
698	río	강	Top501-1000
700	aquellos	저것들	Top501-1000
702	blanco	흰, 하얀	Top501-1000
706	diciendo	말하고 있는	Top501-1000
707	especialmente	특히, 특별히	Top501-1000
708	ganar	이기다, 벌다	Top501-1000
709	interior	내부, 안쪽	Top501-1000
710	lucha	싸움, 투쟁	Top501-1000
711	mediante	~을 통하여 (전치사)	Top501-1000
712	nota	메모, 성적	Top501-1000
713	pequeño	작다	Top501-1000
714	prueba	시험, 증거	Top501-1000
717	twitter	트위터	Top501-1000
718	vaya	가다, 어머	Top501-1000
719	anterior	이전의	Top501-1000
720	buscar	찾다	Top501-1000
721	dia	날, 하루	Top501-1000
722	fuerzas	힘들, 군대	Top501-1000
724	lugares	장소들	Top501-1000
725	medida	조치, 크기	Top501-1000
727	primeros	첫번째의	Top501-1000
728	principales	주요한, 주된	Top501-1000
729	temas	주제, 화제	Top501-1000
731	éxito	성공, 히트	Top501-1000
732	actividades	활동들	Top501-1000
735	américa	아메리카	Top501-1000
736	arriba	위에, 위로	Top501-1000
737	autor	저자, 작가	Top501-1000
741	entrar	들어가다	Top501-1000
742	estilo	스타일, 방식	Top501-1000
744	in	안에	Top501-1000
745	juegos	게임들, 경기들	Top501-1000
747	luis	루이스	Top501-1000
748	mala	나쁜	Top501-1000
750	militar	군인, 군대의	Top501-1000
751	muestra	보여주다, 견본	Top501-1000
752	oro	금	Top501-1000
753	par	쌍, 짝	Top501-1000
756	r	r (알파벳 글자)	Top501-1000
757	relaciones	관계들	Top501-1000
761	color	색, 색깔	Top501-1000
763	defensa	방어, 수비	Top501-1000
764	dólares	달러	Top501-1000
766	fútbol	축구	Top501-1000
769	humanos	인간들	Top501-1000
770	ideas	아이디어들, 생각들	Top501-1000
771	importantes	중요하다	Top501-1000
773	menor	더 작은, 미성년	Top501-1000
774	ministerio	부처, 성직	Top501-1000
775	pocos	몇 개의, 적은	Top501-1000
778	recuerdo	기억, 기억하다	Top501-1000
780	acceso	접근, 출입	Top501-1000
781	armas	무기들, 총들	Top501-1000
782	busca	찾다	Top501-1000
783	comunicación	통신, 의사소통	Top501-1000
784	congreso	국회, 회의	Top501-1000
786	evitar	피하다	Top501-1000
787	finalmente	마침내, 결국	Top501-1000
788	fuente	분수, 원천	Top501-1000
790	jugar	놀다, 경기하다	Top501-1000
792	ministro	장관	Top501-1000
793	productos	제품들	Top501-1000
794	puta	창녀, 빌어먹을	Top501-1000
795	siquiera	조차	Top501-1000
796	época	시대, 시기	Top501-1000
797	acciones	행동들, 주식	Top501-1000
798	actividad	활동	Top501-1000
799	banco	은행, 벤치	Top501-1000
800	conocido	알려진, 아는	Top501-1000
801	conseguir	얻다, 획득하다	Top501-1000
802	construcción	건설, 공사	Top501-1000
803	corte	법정, 자르다	Top501-1000
804	cualquiera	누구든, 아무나	Top501-1000
805	departamento	부서, 아파트	Top501-1000
807	existen	그들은 존재한다	Top501-1000
808	formas	형태들, 방식들	Top501-1000
810	oficina	사무실	Top501-1000
811	presente	현재, 선물	Top501-1000
812	queremos	원하다	Top501-1000
813	sector	부문, 분야	Top501-1000
815	superior	상위의, 우수하다	Top501-1000
817	boca	입	Top501-1000
818	capacidad	능력, 용량	Top501-1000
820	crear	만들다, 창조하다	Top501-1000
822	energía	에너지, 힘	Top501-1000
823	esperar	기다리다, 기대하다	Top501-1000
825	hicieron	그들이 했다	Top501-1000
827	mantener	유지하다, 지키다	Top501-1000
828	modelo	모델, 본보기	Top501-1000
829	natural	자연의, 자연스러운	Top501-1000
830	necesidad	필요, 필요성	Top501-1000
832	preguntas	질문들, 묻다	Top501-1000
833	radio	라디오, 반경	Top501-1000
835	trabajadores	노동자들, 근로자들	Top501-1000
836	v	브이	Top501-1000
837	viejo	늙은, 오래된	Top501-1000
838	administración	행정, 관리	Top501-1000
839	comisión	위원회, 수수료	Top501-1000
841	costa	해안	Top501-1000
842	cree	믿다, 생각하다	Top501-1000
843	crisis	위기	Top501-1000
844	culpa	잘못, 탓	Top501-1000
845	cámara	카메라, 방	Top501-1000
846	diario	일기, 매일의	Top501-1000
848	empezar	시작하다	Top501-1000
849	entender	이해하다	Top501-1000
850	esté	있다, 이다	Top501-1000
851	fuego	불, 화재	Top501-1000
852	fui	갔다, 였다	Top501-1000
853	habrá	있을 것이다	Top501-1000
854	jóvenes	젊은 사람들, 젊은	Top501-1000
855	perder	잃다, 지다	Top501-1000
856	políticas	정책들, 정치적인	Top501-1000
857	pone	놓다, 두다	Top501-1000
858	posición	위치, 자세	Top501-1000
860	título	제목, 칭호	Top501-1000
862	°	도 (기호)	Top501-1000
863	actualmente	현재	Top501-1000
865	llamada	전화, 부름	Top501-1000
867	participación	참여, 참가	Top501-1000
868	sangre	피, 혈통	Top501-1000
870	violencia	폭력	Top501-1000
871	auto	자동차	Top501-1000
872	brasil	브라질	Top501-1000
874	china	중국	Top501-1000
875	ciudadanos	시민	Top501-1000
877	facebook	페이스북	Top501-1000
878	leyes	법들	Top501-1000
879	principios	원칙, 초반	Top501-1000
880	probablemente	아마도	Top501-1000
882	solamente	오직, 단지	Top501-1000
883	área	지역, 구역	Top501-1000
885	banda	밴드, 무리, 띠	Top501-1000
886	ciudades	도시	Top501-1000
887	clases	수업들, 종류들	Top501-1000
888	colegio	학교	Top501-1000
889	contenido	내용, 콘텐츠	Top501-1000
891	encuentro	만남, 찾다	Top501-1000
892	entrada	입구, 입장	Top501-1000
894	francia	프랑스	Top501-1000
895	francisco	프란시스코	Top501-1000
896	imposible	불가능한	Top501-1000
897	medidas	조치, 치수	Top501-1000
898	pagar	지불하다, 갚다	Top501-1000
899	pedro	페드로	Top501-1000
900	permite	허락하다, 허용하다	Top501-1000
901	pp	페이지들 (약어)	Top501-1000
902	pudo	할 수 있었다	Top501-1000
903	televisión	텔레비전	Top501-1000
904	unión	결합, 연합, 조합	Top501-1000
905	vía	길, 경로, 철로	Top501-1000
907	atrás	뒤에, 뒤로	Top501-1000
908	capaz	능력 있는, 가능한	Top501-1000
909	club	클럽	Top501-1000
910	comentarios	댓글, 논평	Top501-1000
911	darle	그에게 주다	Top501-1000
913	error	오류, 실수	Top501-1000
915	hechos	사실들, 만들어진	Top501-1000
916	mayores	더 큰, 연장자들	Top501-1000
918	precios	가격들	Top501-1000
919	proyectos	프로젝트들, 계획들	Top501-1000
920	redes	네트워크, 망	Top501-1000
921	sabemos	알다	Top501-1000
922	sexo	성, 섹스	Top501-1000
924	siguientes	다음의, 이어지는	Top501-1000
925	t	티	Top501-1000
926	tambien	또한, 역시	Top501-1000
927	texto	텍스트, 문자	Top501-1000
929	análisis	분석	Top501-1000
931	chica	소녀, 여자아이	Top501-1000
932	constitución	헌법, 구성	Top501-1000
934	cuentas	계산, 계좌	Top501-1000
935	código	코드, 암호	Top501-1000
936	dolor	고통, 아픔	Top501-1000
937	efecto	효과	Top501-1000
938	habría	있었을 것이다	Top501-1000
939	isla	섬	Top501-1000
940	izquierda	왼쪽, 좌측	Top501-1000
941	mente	마음, 정신	Top501-1000
943	perú	페루	Top501-1000
944	pienso	생각하다	Top501-1000
945	post	게시물, 포스트	Top501-1000
946	presencia	존재, 출석	Top501-1000
948	quizás	아마	Top501-1000
951	serán	그들은 ~일 것이다	Top501-1000
952	siguen	따르다, 계속하다	Top501-1000
953	sr	씨	Top501-1000
954	tenían	그들은 가지고 있었다	Top501-1000
955	totalmente	전적으로, 완전히	Top501-1000
956	versión	버전	Top501-1000
957	aqui	여기	Top501-1000
958	barcelona	바르셀로나	Top501-1000
959	chicos	아이들, 녀석들	Top501-1000
960	cielo	하늘, 천국	Top501-1000
962	cuestión	문제, 질문	Top501-1000
963	debemos	해야 한다	Top501-1000
965	española	스페인의 (여성형)	Top501-1000
966	formación	형성, 교육, 훈련	Top501-1000
967	hice	했다	Top501-1000
968	ii	2세, 2 (로마 숫자)	Top501-1000
969	importancia	중요성	Top501-1000
970	industria	산업, 공업	Top501-1000
971	instituto	학원, 고등학교	Top501-1000
972	loco	미친, 광인	Top501-1000
973	origen	기원, 출신	Top501-1000
974	premio	상, 상품	Top501-1000
975	re	재, 다시	Top501-1000
977	simple	간단한, 단순한	Top501-1000
978	unidad	단위, 부대	Top501-1000
980	and	그리고	Top501-1000
981	cambios	변화, 변경	Top501-1000
982	canal	채널, 운하	Top501-1000
983	cultural	문화적인	Top501-1000
984	dando	주고 있는	Top501-1000
987	económica	경제적인 (여성형)	Top501-1000
988	escrito	쓰여진, 글	Top501-1000
990	gustaría	좋아할 것이다	Top501-1000
991	h	에이치	Top501-1000
992	interesante	흥미로운, 재미있는	Top501-1000
993	jamás	결코, 절대	Top501-1000
994	juicio	재판, 판단	Top501-1000
995	miles	수천	Top501-1000
998	peso	무게, 페소	Top501-1000
999	pobre	가난한, 불쌍한	Top501-1000
1000	prensa	언론, 신문	Top501-1000
1001	propiedad	재산, 속성	Top1001-2000
1002	revolución	혁명	Top1001-2000
1003	victoria	승리	Top1001-2000
1004	votos	투표, 서약	Top1001-2000
1005	vuelve	돌아오다, 돌아가다	Top1001-2000
1006	york	요크	Top1001-2000
1007	éste	이것, 이 사람	Top1001-2000
1008	alma	영혼	Top1001-2000
1009	antonio	안토니오	Top1001-2000
1010	artículos	기사, 물품	Top1001-2000
1011	asunto	문제, 일, 사안	Top1001-2000
1012	buscando	찾고 있는	Top1001-2000
1013	completamente	완전히	Top1001-2000
1015	conocimiento	지식	Top1001-2000
1016	estudiantes	학생들	Top1001-2000
1018	humano	인간, 인간적인	Top1001-2000
1019	imágenes	이미지들, 그림들	Top1001-2000
1020	marcha	행진, 출발	Top1001-2000
1021	pasando	지나가는, 일어나고 있는	Top1001-2000
1022	pie	발	Top1001-2000
1023	puedan	그들이 할 수 있다	Top1001-2000
1024	tecnología	기술, 테크놀로지	Top1001-2000
1025	tipos	종류, 녀석들	Top1001-2000
1026	trabajos	직업들, 일들	Top1001-2000
1028	aprender	배우다	Top1001-2000
1029	conjunto	세트, 집합	Top1001-2000
1030	cuarto	방, 네 번째	Top1001-2000
1031	curso	과정, 강좌	Top1001-2000
1032	democracia	민주주의	Top1001-2000
1033	don	돈, 씨	Top1001-2000
1034	fe	믿음, 신앙	Top1001-2000
1035	ganas	의욕, 하고 싶음	Top1001-2000
1036	género	성별, 장르	Top1001-2000
1037	muerto	죽은	Top1001-2000
1038	nación	국가	Top1001-2000
1039	negocio	사업, 비즈니스	Top1001-2000
1041	pablo	파블로	Top1001-2000
1042	particular	특별한, 개인의	Top1001-2000
1043	posibilidad	가능성	Top1001-2000
1044	profesional	전문적인	Top1001-2000
1045	régimen	체제, 정권	Top1001-2000
1046	suelo	땅, 바닥	Top1001-2000
1047	tuve	가졌다	Top1001-2000
1049	visita	방문	Top1001-2000
1051	ataque	공격, 발작	Top1001-2000
1053	cuba	쿠바	Top1001-2000
1054	económico	경제적인 (남성형)	Top1001-2000
1055	edificio	건물	Top1001-2000
1056	federal	연방의	Top1001-2000
1057	lengua	혀, 언어	Top1001-2000
1059	naturaleza	자연, 본성	Top1001-2000
1060	noches	밤들	Top1001-2000
1062	piensa	생각하다	Top1001-2000
1063	programas	프로그램들	Top1001-2000
1064	protección	보호	Top1001-2000
1065	pruebas	증거, 시험	Top1001-2000
1066	publicado	출판된, 게시된	Top1001-2000
1067	sala	방, 거실	Top1001-2000
1068	santiago	산티아고	Top1001-2000
1070	sueño	꿈, 잠	Top1001-2000
1072	trabajando	일하고 있는	Top1001-2000
1073	transporte	교통, 운송	Top1001-2000
1074	usa	미국, 사용하다	Top1001-2000
1075	usuarios	사용자들	Top1001-2000
1076	zonas	지역, 구역들	Top1001-2000
1077	acto	행위, 막	Top1001-2000
1078	animales	동물들	Top1001-2000
1079	asociación	협회, 연합	Top1001-2000
1080	completo	완전한, 전부의	Top1001-2000
1081	cuidado	조심, 돌봄	Top1001-2000
1082	deseo	욕망, 소망	Top1001-2000
1083	detrás	뒤에	Top1001-2000
1084	directamente	직접적으로	Top1001-2000
1085	doctor	의사, 박사	Top1001-2000
1086	dr	박사 (약어)	Top1001-2000
1087	edición	판, 편집	Top1001-2000
1088	encuentran	그들은 찾는다	Top1001-2000
1090	informe	보고서	Top1001-2000
1091	llegado	도착한	Top1001-2000
1092	manuel	마누엘 (인명)	Top1001-2000
1093	material	자료, 재료	Top1001-2000
1094	metros	미터, 지하철	Top1001-2000
1095	momentos	순간들	Top1001-2000
1096	nacionales	국가의, 국내의	Top1001-2000
1097	pareja	커플, 짝	Top1001-2000
1099	presenta	소개하다, 발표하다	Top1001-2000
1100	puso	놓았다, 두었다	Top1001-2000
1102	razones	이유들	Top1001-2000
1103	recuerda	기억하다	Top1001-2000
1104	venta	판매	Top1001-2000
1106	chicas	소녀들, 여자애들	Top1001-2000
1107	confianza	신뢰, 자신감	Top1001-2000
1108	creación	창조, 창설	Top1001-2000
1109	destino	운명, 목적지	Top1001-2000
1110	especie	종류, 종	Top1001-2000
1113	legal	합법의	Top1001-2000
1114	muertos	죽은 사람들	Top1001-2000
1115	negocios	사업, 비즈니스	Top1001-2000
1116	obtener	얻다, 획득하다	Top1001-2000
1118	pensando	생각하고 있는	Top1001-2000
1119	perro	개	Top1001-2000
1121	pueblos	마을들, 민족들	Top1001-2000
1122	quiera	원하다	Top1001-2000
1123	responsabilidad	책임	Top1001-2000
1124	reunión	회의, 모임	Top1001-2000
1125	revista	잡지	Top1001-2000
1126	solución	해결책, 용액	Top1001-2000
1127	territorio	영토, 지역	Top1001-2000
1128	to	에게, 까지	Top1001-2000
1130	vídeo	비디오, 영상	Top1001-2000
1131	aplicación	적용, 애플리케이션	Top1001-2000
1132	aumento	증가, 인상	Top1001-2000
1133	calles	거리들	Top1001-2000
1135	ciencia	과학	Top1001-2000
1136	decía	말하고 있었다	Top1001-2000
1137	diga	말하다	Top1001-2000
1138	distancia	거리	Top1001-2000
1139	doble	두 배, 이중의	Top1001-2000
1140	familias	가족들	Top1001-2000
1141	j	j (알파벳 글자)	Top1001-2000
1142	jesús	예수	Top1001-2000
1143	marca	브랜드, 표시	Top1001-2000
1144	memoria	기억, 메모리	Top1001-2000
1145	motivo	이유, 동기	Top1001-2000
1146	opción	선택, 옵션	Top1001-2000
1147	pase	지나가다, 통과	Top1001-2000
1149	práctica	연습, 실습, 실천	Top1001-2000
1150	realizar	실행하다, 수행하다	Top1001-2000
1151	referencia	참조, 언급	Top1001-2000
1153	reino	왕국	Top1001-2000
