rank,word,pos,gender,ko,freq,cum_pct,region,cefr
126,مدينة,,,도시,,,Top500,
127,مصر,,,이집트,,,Top500,
128,منها,,,그녀로부터,,,Top500,
129,يجب,,,~해야 한다,,,Top500,
130,2,,,2 (숫자),,,Top500,
131,شخص,,,사람,,,Top500,
132,عليها,,,"그녀에게, 그녀는 ~해야",,,Top500,
133,الكثير,,,"많은, 많이",,,Top500,
134,مرة,,,"번, 한 번",,,Top500,
135,الأمر,,,"일, 문제",,,Top500,
136,مما,,,"~로부터, ~보다",,,Top500,
137,والتي,,,그리고 ~하는(여),,,Top500,
138,عمل,,,"일, 작업",,,Top500,
139,عبر,,,"통해, 건너",,,Top500,
140,فقد,,,"이미, 잃다",,,Top500,
141,يقول,,,말하다,,,Top500,
142,الثاني,,,두 번째,,,Top500,
143,العديد,,,"많음, 다수",,,Top500,
144,بل,,,"오히려, 아니",,,Top500,
145,عليك,,,"너에게, 너는 ~해야",,,Top500,
146,هم,,,그들,,,Top500,
147,الأولى,,,"첫째, 첫 번째",,,Top500,
148,ل,,,"~에게, ~을 위해",,,Top500,
149,لنا,,,우리에게,,,Top500,
150,أكبر,,,"더 크다, 더 나이 많다",,,Top500,
151,أول,,,"첫째, 처음",,,Top500,
152,رئيس,,,"우두머리, 사장",,,Top500,
153,لهم,,,그들에게,,,Top500,
154,موقع,,,"위치, 사이트",,,Top500,
155,واحدة,,,하나 여성,,,Top500,
156,الرئيس,,,"대통령, 우두머리",,,Top500,
157,سنة,,,"년, 해",,,Top500,
158,لما,,,"왜, ~때",,,Top500,
159,مجموعة,,,"그룹, 집단",,,Top500,
160,او,,,또는,,,Top500,
161,ضد,,,~에 반대하여,,,Top500,
162,عنه,,,그에 대해,,,Top500,
163,كبير,,,"크다, 나이 많다",,,Top500,
164,لقد,,,"이미, 정말",,,Top500,
165,وذلك,,,그리고 저것,,,Top500,
166,وعلى,,,그리고 ~위에,,,Top500,
167,أفضل,,,"더 나은, 최고",,,Top500,
168,الدولة,,,"국가, 나라",,,Top500,
169,الدين,,,"종교, 빚",,,Top500,
170,بك,,,"너로, 너에게",,,Top500,
171,حين,,,"때, 시간",,,Top500,
172,طريق,,,"길, 도로",,,Top500,
173,وقت,,,시간,,,Top500,
174,وكان,,,그리고 ~이었다,,,Top500,
175,أما,,,"~으로 말하면, 하지만",,,Top500,
176,اذا,,,만약,,,Top500,
177,الأرض,,,"땅, 지구",,,Top500,
178,لأن,,,~때문에,,,Top500,
179,منه,,,그로부터,,,Top500,
180,نحن,,,우리,,,Top500,
181,5,,,5 (숫자),,,Top500,
182,الإنسان,,,인간,,,Top500,
183,نفسه,,,"자신, 똑같은",,,Top500,
184,وما,,,그리고 무엇,,,Top500,
185,يعني,,,의미하다,,,Top500,
186,4,,,4 (숫자),,,Top500,
187,المدينة,,,도시,,,Top500,
188,انت,,,"너, 당신",,,Top500,
189,بدون,,,~없이,,,Top500,
190,عشر,,,"열, 십",,,Top500,
191,نفس,,,"같은, 자신",,,Top500,
192,أم,,,"아니면, 어머니",,,Top500,
193,الخاصة,,,"특별한, 개인의",,,Top500,
194,جديد,,,새롭다,,,Top500,
195,الحكومة,,,정부,,,Top500,
196,العربي,,,"아랍의, 아랍인 (남성형)",,,Top500,
197,ولم,,,"그리고 왜, 그리고 않았다",,,Top500,
198,سنوات,,,"년, 해",,,Top500,
199,مجلس,,,"의회, 회의",,,Top500,
200,أحمد,,,아흐마드 (남자 이름),,,Top500,
201,الحرب,,,전쟁,,,Top500,
202,حالة,,,"상태, 경우",,,Top500,
203,عاما,,,"년, 일반적인",,,Top500,
204,علينا,,,"우리에게, 우리는 ~해야",,,Top500,
205,كبيرة,,,크다 여성,,,Top500,
206,منهم,,,그들 중에서,,,Top500,
207,وجود,,,"존재, 있음",,,Top500,
208,العامة,,,"공공의, 일반의",,,Top500,
209,المنطقة,,,"지역, 구역",,,Top500,
210,بي,,,"나로, 나에게",,,Top500,
211,شركة,,,회사,,,Top500,
212,قام,,,"일어나다, 하다",,,Top500,
213,وهذا,,,그리고 이것,,,Top500,
214,6,,,6 (숫자),,,Top500,
215,إنه,,,"그는, 그것은",,,Top500,
216,ابن,,,아들,,,Top500,
217,بينما,,,~하는 동안,,,Top500,
218,جديدة,,,새롭다,,,Top500,
219,دولار,,,달러,,,Top500,
220,يوجد,,,~이 있다,,,Top500,
221,السلام,,,"평화, 인사",,,Top500,
222,الملك,,,왕,,,Top500,
223,الولايات,,,"주들, 미국",,,Top500,
224,انه,,,"그는, 그것은",,,Top500,
225,ذات,,,"같은, 가진",,,Top500,
226,عدة,,,"여러, 장비",,,Top500,
227,فيما,,,"~하는 동안, ~에 관해",,,Top500,
228,لكل,,,"각각의, 모든 ~에게",,,Top500,
229,منطقة,,,"지역, 구역",,,Top500,
230,ال,,,정관사 ~의 (the),,,Top500,
231,الاتحاد,,,"연합, 연방, 동맹",,,Top500,
232,بالنسبة,,,"~에 관하여, ~에게",,,Top500,
233,فيديو,,,비디오,,,Top500,
234,مليون,,,백만,,,Top500,
235,يكن,,,있다,,,Top500,
236,إليه,,,그에게로,,,Top500,
237,دائما,,,항상,,,Top500,
238,داخل,,,"안, 내부",,,Top500,
239,عدم,,,"없음, 부재",,,Top500,
240,لدى,,,~에게 있다,,,Top500,
241,والذي,,,그리고 ~하는 사람/것,,,Top500,
242,العالمية,,,세계적인 (여),,,Top500,
243,اليمن,,,예멘,,,Top500,
244,خاصة,,,"특별한, 특히",,,Top500,
245,عملية,,,"수술, 작전, 과정",,,Top500,
246,7,,,7 (숫자),,,Top500,
247,الجديد,,,새로운,,,Top500,
248,الجيش,,,군대,,,Top500,
249,النار,,,불,,,Top500,
250,تقول,,,말하다,,,Top500,
251,ثلاثة,,,"셋, 3",,,Top500,
252,صلى,,,"기도하다, 축복하다 (예언자 축원구)",,,Top500,
253,صور,,,사진들,,,Top500,
254,كانوا,,,그들이었다,,,Top500,
255,كثيرا,,,많이,,,Top500,
256,مكان,,,장소,,,Top500,
257,هؤلاء,,,이들,,,Top500,
258,وزارة,,,"부(部), 부처",,,Top500,
259,أمام,,,앞에,,,Top500,
260,العراق,,,이라크,,,Top500,
261,بكل,,,모든 ~로,,,Top500,
262,لذلك,,,그래서,,,Top500,
263,لهذا,,,"이것을 위해, 그래서",,,Top500,
264,م,,,M(약자),,,Top500,
265,نظام,,,"체계, 시스템",,,Top500,
266,أبو,,,"아부 (~의 아버지, 이름 접두어)",,,Top500,
267,إيران,,,이란,,,Top500,
268,الشيخ,,,"셰이크, 장로, 스승",,,Top500,
269,النظام,,,"체계, 시스템",,,Top500,
270,الوطني,,,"국가의, 민족의",,,Top500,
271,فوق,,,위에,,,Top500,
272,وأن,,,그리고 ~하는 것,,,Top500,
273,أثناء,,,"~동안, ~중에",,,Top500,
274,الأخرى,,,다른 (여성형),,,Top500,
275,المسلمين,,,무슬림들 (목적격/소유격 복수),,,Top500,
276,سوف,,,~할 것이다,,,Top500,
277,ضمن,,,"~안에, ~에 포함된",,,Top500,
278,ليست,,,~이 아니다 여성,,,Top500,
279,استخدام,,,사용,,,Top500,
280,عليهم,,,"그들에게, 그들 위에",,,Top500,
281,لكم,,,너희에게,,,Top500,
282,مركز,,,"센터, 중심",,,Top500,
283,نهاية,,,"끝, 종말",,,Top500,
284,الثانية,,,"두 번째의 (여성형), 초",,,Top500,
285,الدولية,,,국제적인 (여성형),,,Top500,
286,الكتاب,,,책,,,Top500,
287,الماضي,,,"지난, 과거",,,Top500,
288,المملكة,,,왕국,,,Top500,
289,عمر,,,"나이, 오마르(이름)",,,Top500,
290,كذلك,,,"그렇게, 또한",,,Top500,
291,وسلم,,,그리고 평화가 있기를 (예언자 축원구),,,Top500,
292,أبي,,,"아버지, 아빠",,,Top500,
293,الأمريكية,,,미국의 (여성형),,,Top500,
294,الجديدة,,,새로운 (여성형),,,Top500,
295,الخاص,,,"특별한, ~의",,,Top500,
296,الموقع,,,"장소, 위치, 사이트",,,Top500,
297,بالإضافة,,,"게다가, 덧붙여",,,Top500,
298,رجل,,,남자,,,Top500,
299,وأنا,,,그리고 나는,,,Top500,
300,الفيلم,,,영화,,,Top500,
301,اي,,,"어떤, 어느",,,Top500,
302,سوريا,,,시리아,,,Top500,
303,فيلم,,,영화,,,Top500,
304,لماذا,,,왜,,,Top500,
305,وبعد,,,그리고 후에,,,Top500,
306,ولد,,,"소년, 태어났다",,,Top500,
307,9,,,9 (숫자),,,Top500,
308,ألف,,,천 (1000),,,Top500,
309,أمر,,,"일, 명령",,,Top500,
310,البلاد,,,"나라, 국가",,,Top500,
311,الدول,,,"국가들, 나라들",,,Top500,
312,الشرطة,,,경찰,,,Top500,
313,بأنه,,,그가 ~라는 것으로,,,Top500,
314,بواسطة,,,"~을 통해, ~에 의해",,,Top500,
315,حال,,,"상태, 경우",,,Top500,
316,خارج,,,"밖, 바깥",,,Top500,
317,كتب,,,"썼다, 책들",,,Top500,
318,نحو,,,"~쪽으로, 약, 문법",,,Top500,
319,يبدو,,,~처럼 보이다,,,Top500,
320,8,,,8 (숫자),,,Top500,
321,الأطفال,,,아이들,,,Top500,
322,الرجال,,,남자들,,,Top500,
323,العرب,,,아랍인들,,,Top500,
324,المرأة,,,여자,,,Top500,
325,الوطنية,,,"국가의, 민족의 (여성형)",,,Top500,
326,بدأ,,,시작하다,,,Top500,
327,برنامج,,,프로그램,,,Top500,
328,تقوم,,,"하다, 수행하다",,,Top500,
329,شهر,,,"달, 월",,,Top500,
330,صورة,,,"사진, 이미지",,,Top500,
331,كم,,,"얼마, 몇",,,Top500,
332,ماذا,,,무엇,,,Top500,
333,منك,,,너로부터,,,Top500,
334,أصبح,,,되다,,,Top500,
335,الشعب,,,"국민, 민족",,,Top500,
336,القانون,,,"법, 법률",,,Top500,
337,بدأت,,,시작했다,,,Top500,
338,حد,,,"한계, 한 사람",,,Top500,
339,حق,,,"권리, 진실",,,Top500,
340,قتل,,,"죽이다, 살인",,,Top500,
341,لمدة,,,~동안,,,Top500,
342,يقوم,,,"하다, 수행하다",,,Top500,
343,the,,,the (영어 정관사),,,Top500,
344,أيام,,,날들,,,Top500,
345,الجميع,,,모두,,,Top500,
346,الدولي,,,국제적인 (남성형),,,Top500,
347,المجتمع,,,"사회, 공동체",,,Top500,
348,بناء,,,"건축, 건물, ~에 따라",,,Top500,
349,حسن,,,"좋은, 잘",,,Top500,
350,دولة,,,"국가, 나라",,,Top500,
351,صحيح,,,"맞다, 옳다",,,Top500,
352,فترة,,,"기간, 시기",,,Top500,
353,مارس,,,"3월, 행하다",,,Top500,
354,وليس,,,그리고 아니다,,,Top500,
355,أنهم,,,그들이 ~라는 것,,,Top500,
356,اسم,,,이름,,,Top500,
357,الان,,,지금,,,Top500,
358,تاريخ,,,"역사, 날짜",,,Top500,
359,تعمل,,,"일하다, 작동하다",,,Top500,
360,ثلاث,,,"셋, 삼",,,Top500,
361,ذكر,,,"언급하다, 남성",,,Top500,
362,ربما,,,아마,,,Top500,
363,رقم,,,"번호, 숫자",,,Top500,
364,ساعة,,,"시간, 시계",,,Top500,
365,عنها,,,그녀에 대해,,,Top500,
366,إذ,,,"~할 때, 왜냐하면",,,Top500,
367,البعض,,,"일부, 몇몇",,,Top500,
368,الحصول,,,얻는 것,,,Top500,
369,شيئا,,,무언가,,,Top500,
370,معه,,,그와 함께,,,Top500,
371,وضع,,,"놓다, 상황",,,Top500,
372,يوما,,,"하루, 어느 날",,,Top500,
373,الإسلامية,,,이슬람의 (여성형),,,Top500,
374,السنة,,,"해, 년",,,Top500,
375,اللغة,,,언어,,,Top500,
376,باسم,,,~의 이름으로,,,Top500,
377,حسب,,,~에 따라,,,Top500,
378,فريق,,,팀,,,Top500,
379,كتاب,,,책,,,Top500,
380,نوع,,,"종류, 유형",,,Top500,
381,وزير,,,장관,,,Top500,
382,أقل,,,더 적다,,,Top500,
383,إحدى,,,~중 하나 (여성형),,,Top500,
384,الأخيرة,,,마지막의 (여성형),,,Top500,
385,الأمن,,,"안전, 보안",,,Top500,
386,الرغم,,,~에도 불구하고,,,Top500,
387,الطريق,,,"길, 도로",,,Top500,
388,العمر,,,"나이, 인생",,,Top500,
389,الكويت,,,쿠웨이트,,,Top500,
390,المزيد,,,"더, 더 많음",,,Top500,
391,النساء,,,여자들,,,Top500,
392,الواقع,,,"현실, 실제",,,Top500,
393,تماما,,,"완전히, 전적으로",,,Top500,
394,حدث,,,"일어나다, 사건",,,Top500,
395,سبيل,,,"길, 방법",,,Top500,
396,مجال,,,"분야, 영역",,,Top500,
397,مختلفة,,,다른 (여성형),,,Top500,
398,نفسك,,,너 자신,,,Top500,
399,يحدث,,,일어나다,,,Top500,
400,يعمل,,,"일하다, 작동하다",,,Top500,
401,إدارة,,,"관리, 행정",,,Top500,
402,السياسية,,,정치적인 (여성형),,,Top500,
403,الشباب,,,"청년들, 젊은이들",,,Top500,
404,المعلومات,,,정보,,,Top500,
405,بلا,,,~없이,,,Top500,
406,جنوب,,,남쪽,,,Top500,
407,علم,,,"과학, 지식, 깃발",,,Top500,
408,فعل,,,"하다, 행동",,,Top500,
409,كلمة,,,"단어, 말",,,Top500,
410,الرجل,,,그 남자,,,Top500,
411,الساعة,,,"시간, 시계",,,Top500,
412,بداية,,,시작,,,Top500,
413,حياة,,,"삶, 인생",,,Top500,
414,صباح,,,아침,,,Top500,
415,طريقة,,,방법,,,Top500,
416,لأنه,,,그가 ~때문에,,,Top500,
417,وأنت,,,그리고 너는,,,Top500,
418,وسط,,,"중간, 가운데",,,Top500,
419,ومع,,,그리고 ~와 함께,,,Top500,
420,أكتوبر,,,10월,,,Top500,
421,الحق,,,"진실, 권리",,,Top500,
422,السابق,,,이전의,,,Top500,
423,الموت,,,죽음,,,Top500,
424,بهذه,,,이것으로 여성,,,Top500,
425,جامعة,,,대학교,,,Top500,
426,دور,,,"역할, 차례",,,Top500,
427,رجال,,,남자들,,,Top500,
428,رغم,,,~에도 불구하고,,,Top500,
429,سيكون,,,~일 것이다,,,Top500,
430,صغيرة,,,"작다, 어리다",,,Top500,
431,فبراير,,,2월,,,Top500,
432,وكانت,,,그리고 그녀는 ~이었다,,,Top500,
433,يعرف,,,알다,,,Top500,
434,أصبحت,,,되었다,,,Top500,
435,الإسلام,,,이슬람,,,Top500,
436,التعليم,,,교육,,,Top500,
437,السيد,,,"씨, 선생",,,Top500,
438,العلاقات,,,관계들,,,Top500,
439,الي,,,"~에게, 나에게",,,Top500,
440,انظر,,,보다,,,Top500,
441,انك,,,네가 ~라는 것,,,Top500,
442,بذلك,,,그것으로,,,Top500,
443,بهذا,,,이것으로,,,Top500,
444,حركة,,,"움직임, 운동",,,Top500,
445,حزب,,,"정당, 당",,,Top500,
446,عالم,,,"세계, 학자",,,Top500,
447,عرض,,,"공연, 제안, 너비",,,Top500,
448,قناة,,,"채널, 운하",,,Top500,
449,كنا,,,우리였다,,,Top500,
450,لبنان,,,레바논,,,Top500,
451,مباشرة,,,"직접, 곧바로",,,Top500,
452,يعد,,,"준비하다, 약속하다, 더이상~않다",,,Top500,
453,إسرائيل,,,이스라엘,,,Top500,
454,الحكم,,,"심판, 판결",,,Top500,
455,السعودي,,,사우디의 (남성형),,,Top500,
456,تعلم,,,"알다, 배우다",,,Top500,
457,حاليا,,,"현재, 지금",,,Top500,
458,دول,,,"국가들, 나라들",,,Top500,
459,زيادة,,,"증가, 추가",,,Top500,
460,فلا,,,그래서 ~아니다,,,Top500,
461,قائمة,,,"목록, 메뉴",,,Top500,
462,قالت,,,그녀가 말했다,,,Top500,
463,معظم,,,대부분,,,Top500,
464,وهم,,,"그리고 그들은, 환상",,,Top500,
465,يمكنك,,,너는 ~할 수 있다,,,Top500,
466,يونيو,,,6월,,,Top500,
467,الأعمال,,,"일들, 사업",,,Top500,
468,التاريخ,,,"역사, 날짜",,,Top500,
469,الخارجية,,,"외부의, 외무부",,,Top500,
470,المغرب,,,"모로코, 일몰",,,Top500,
471,تقريبا,,,"거의, 대략",,,Top500,
472,جاء,,,왔다,,,Top500,
473,دي,,,"이것 (이집트 방언, 여성)",,,Top500,
474,رسول,,,"사도, 예언자, 사자",,,Top500,
475,قوات,,,"군대들, 병력",,,Top500,
476,كثير,,,많은,,,Top500,
477,مشروع,,,"프로젝트, 합법적인",,,Top500,
478,يناير,,,1월,,,Top500,
479,آل,,,"가문, 일족",,,Top500,
480,أشهر,,,"개월들, 더 유명한",,,Top500,
481,أعضاء,,,"회원들, 구성원들",,,Top500,
482,الثالث,,,세 번째,,,Top500,
483,الدفاع,,,"방어, 수비",,,Top500,
484,المدرسة,,,학교,,,Top500,
485,المناطق,,,"지역들, 구역들",,,Top500,
486,جزء,,,부분,,,Top500,
487,فكرة,,,"생각, 아이디어",,,Top500,
488,قسم,,,"부서, 맹세",,,Top500,
489,قصة,,,이야기,,,Top500,
490,مجرد,,,"단지, 그저",,,Top500,
491,مختلف,,,다른,,,Top500,
492,نتيجة,,,결과,,,Top500,
493,وكذلك,,,"또한, 그리고 마찬가지로",,,Top500,
494,الآخر,,,"다른, 타인",,,Top500,
495,النبي,,,"예언자, 선지자",,,Top500,
496,تعرف,,,알다,,,Top500,
497,تويتر,,,트위터,,,Top500,
498,سبب,,,"이유, 원인",,,Top500,
499,مايو,,,5월,,,Top500,
500,مباراة,,,"경기, 시합",,,Top500,
501,وإن,,,비록 ~일지라도,,,Top1000,
502,وكل,,,그리고 모든,,,Top1000,
503,أبدا,,,"결코, 절대",,,Top1000,
504,ألا,,,~이 아닌가,,,Top1000,
505,إعادة,,,"반복, 재 (재시도)",,,Top1000,
506,الأمور,,,"일들, 문제들",,,Top1000,
507,الحديث,,,"대화, 말",,,Top1000,
508,القوات,,,"군대, 부대들",,,Top1000,
509,المصرية,,,이집트의 (여성형),,,Top1000,
510,حقوق,,,권리들,,,Top1000,
511,فرصة,,,기회,,,Top1000,
512,قانون,,,"법, 법률",,,Top1000,
513,لديها,,,그녀에게 있다,,,Top1000,
514,نفسي,,,나 자신,,,Top1000,
515,وفقا,,,"~에 따라, ~에 의하면 (부사)",,,Top1000,
516,وقال,,,그리고 그가 말했다,,,Top1000,
517,الا,,,"~외에, ~을 제외하고",,,Top1000,
518,الحب,,,사랑,,,Top1000,
519,الشركة,,,회사,,,Top1000,
520,المصري,,,"이집트의, 이집트인 (남성형)",,,Top1000,
521,المياه,,,물,,,Top1000,
522,بيت,,,집,,,Top1000,
523,ترى,,,보다,,,Top1000,
524,جون,,,존,,,Top1000,
525,حصل,,,"일어나다, 얻다",,,Top1000,
526,حوالي,,,"약, 대략",,,Top1000,
527,طويلة,,,길다,,,Top1000,
528,عيد,,,"명절, 축제",,,Top1000,
529,كامل,,,완전한,,,Top1000,
530,مساء,,,저녁,,,Top1000,
531,مهما,,,"무엇이든, 아무리",,,Top1000,
532,نشر,,,"출판, 게재, 펼치다",,,Top1000,
533,نوفمبر,,,11월,,,Top1000,
534,أمريكا,,,미국,,,Top1000,
535,أنك,,,네가 ~라는 것,,,Top1000,
536,الأقل,,,"최소, 적어도",,,Top1000,
537,الحقيقة,,,"진실, 사실",,,Top1000,
538,الشرق,,,동쪽,,,Top1000,
539,الموضوع,,,"주제, 문제",,,Top1000,
540,تكن,,,있다 여성,,,Top1000,
541,جانب,,,"옆, 측면",,,Top1000,
542,حكم,,,"판결, 통치",,,Top1000,
543,خاص,,,"특별한, 사적인",,,Top1000,
544,سبتمبر,,,9월,,,Top1000,
545,سعيد,,,행복하다,,,Top1000,
546,شكرا,,,감사합니다,,,Top1000,
547,قوة,,,"힘, 권력",,,Top1000,
548,مني,,,나로부터,,,Top1000,
549,يوليو,,,7월,,,Top1000,
550,أهل,,,"가족, 일족, 주민",,,Top1000,
551,إلي,,,나에게로,,,Top1000,
552,اكثر,,,더 많이,,,Top1000,
553,الداخلية,,,"내부의 (여성형), 내무부",,,Top1000,
554,الرئيسية,,,주요한 (여성),,,Top1000,
555,الصغيرة,,,"작은, 어린",,,Top1000,
556,الطعام,,,음식,,,Top1000,
557,العالمي,,,"세계적인, 국제적인 (남성형)",,,Top1000,
558,العسكرية,,,군사의 (여),,,Top1000,
559,القدم,,,"발, 풋볼",,,Top1000,
560,القرآن,,,"꾸란, 코란",,,Top1000,
561,الماء,,,물,,,Top1000,
562,المركز,,,"중심, 센터",,,Top1000,
563,الوصول,,,"도착, 접근",,,Top1000,
564,روسيا,,,러시아,,,Top1000,
565,شئ,,,"것, 무언가",,,Top1000,
566,فهو,,,그래서 그는 (접속사+대명사),,,Top1000,
567,قامت,,,"그녀가 일어났다, 행했다",,,Top1000,
568,منا,,,우리로부터,,,Top1000,
569,يعتبر,,,"여기다, 간주하다",,,Top1000,
570,إليها,,,그녀에게,,,Top1000,
571,احد,,,"누군가, 하나",,,Top1000,
572,الاجتماعية,,,사회적인 (여성형),,,Top1000,
573,البحث,,,"검색, 연구",,,Top1000,
574,الخير,,,"선, 좋음",,,Top1000,
575,القاهرة,,,카이로,,,Top1000,
576,المال,,,돈,,,Top1000,
577,بهم,,,그들과 함께,,,Top1000,
578,تطبيق,,,"적용, 앱, 응용",,,Top1000,
579,جميعا,,,"모두, 다함께",,,Top1000,
580,رسالة,,,"편지, 메시지",,,Top1000,
581,طلب,,,"요청, 주문",,,Top1000,
582,قلت,,,말했다,,,Top1000,
583,لهذه,,,이것을 위해,,,Top1000,
584,مستوى,,,"수준, 레벨",,,Top1000,
585,مقابل,,,"~의 대가로, 맞은편",,,Top1000,
586,نعم,,,"네, 응",,,Top1000,
587,a,,,a (영어 부정관사),,,Top1000,
588,أعمال,,,"일, 사업, 작품",,,Top1000,
589,إليك,,,너에게,,,Top1000,
590,البيت,,,집,,,Top1000,
591,السكان,,,"주민, 인구",,,Top1000,
592,السياسي,,,"정치적인, 정치인 (남성형)",,,Top1000,
593,العزيز,,,"친애하는, 소중한",,,Top1000,
594,المجلس,,,"의회, 위원회",,,Top1000,
595,المكان,,,그 장소,,,Top1000,
596,توجد,,,"있다, 존재하다",,,Top1000,
597,جميل,,,아름답다,,,Top1000,
598,خالد,,,"칼리드 (남자 이름), 영원한",,,Top1000,
