row_id	course	dialogue_id	speaker	turn	id_target	id_ko	id_roman	id_note	ms_target	ms_ko	ms_roman	ms_note
l2_d13_t05	2	대화13	A	5	Bagi 60-40 ya?	60-40?	바기 으남 뿔루 음빳 뿔루 야?	bagi = 나누다	Bahagi 60-40 ya?	60-40?	바하기 으남 뿔루 음빳 뿔루 야?	bahagi = 나누다 (말레이, bagi도 양쪽)
l2_d13_t06	2	대화13	B	6	Adil. Aku transfer hari ini.	공정. 오늘 송금.	아딜. 아꾸 트랜스퍼 하리 이니.	adil = 공정한, transfer = 영어	Adil. Saya transfer hari ini.	오늘 송금.	아딜. 사야 트랜스퍼 하리 이니.	adil = 공정한, transfer = 영어
l2_d13_t07	2	대화13	A	7	Bulan depan AC pakai timer ya.	다음 달 timer 사용.	불란 드빤 아쩨 빠까이 따이머르 야.	timer = 영어	Bulan depan AC pakai timer ya.	timer.	불란 드빤 아쩨 빠까이 따이머르 야.	timer = 영어
l2_d13_t08	2	대화13	B	8	Setuju. Aku set jam 11 mati.	동의. 11시 꺼짐.	스뚜주. 아꾸 셋 잠 스블라스 마띠.		Setuju. Saya set pukul 11 mati.	11시 꺼짐.	스뚜주. 사야 셋 뿌꿀 스블라스 마띠.	
l2_d13_t09	2	대화13	A	9	Internet juga renew besok.	WiFi 갱신.	인떠르넷 주가 르뉴 베속.	renew = 영어	Internet pun renew esok.	WiFi 갱신.	인떠르넷 뿐 르뉴 에속.	renew = 영어
l2_d13_t10	2	대화13	B	10	Aku bayar 50%.	50% 지불.	아꾸 바야르 리마 뿔루 퍼센.		Saya bayar 50%.	50%.	사야 바야르 리마 뿔루 퍼센.	
l2_d13_t11	2	대화13	A	11	Mantap. Sori marah-marah.	좋다. 화내서 미안.	만땁. 소리 마라 마라.	marah-marah = reduplication 화내다	Best. Sori marah-marah.	미안.	베스. 소리 마라 마라.	marah-marah = reduplication 화내다
l2_d13_t12	2	대화13	B	12	Sudah, kita ngomong baik-baik.	됐어, 잘 얘기.	수다, 끼따 응오몽 바익 바익.	baik-baik = reduplication	Dah, kita cakap baik-baik.	잘 얘기.	다, 끼따 짜깝 바익 바익.	baik-baik = reduplication, cakap = 말하다 (말레이, ngomong은 인니)
l2_d13_t13	2	대화13	A	13	Beli pizza biar damai.	피자로 평화.	블리 핏자 비아르 다마이.	damai = 평화	Beli pizza supaya damai.	피자.	블리 핏자 수빠야 다마이.	damai = 평화
l2_d14_t01	2	대화14	A	1	Add Lala ke grup ya.	랄라 그룹 추가.	애드 랄라 끄 그룹 야.	add = 영어	Add Lala ke grup ya.	랄라 추가.	애드 랄라 끄 그룹 야.	add = 영어
l2_d14_t02	2	대화14	B	2	Done! Welcome Lala!	됐어! 환영 랄라!	돈! 웰컴 랄라!	welcome = 영어	Done! Welcome Lala!	환영!	돈! 웰컴 랄라!	welcome = 영어
l2_d14_t03	2	대화14	C	3	Hi semua, aku Lala.	안녕, 나 랄라.	하이 스무아, 아꾸 랄라.		Hi semua, saya Lala.	안녕, Lala.	하이 스무아, 사야 랄라.	
l2_d14_t04	2	대화14	A	4	Hi Lala! Cerita dikit dong.	안녕 랄라! 자기소개.	하이 랄라! 쩨리따 디낏 동.		Hi Lala! Cerita sikit la.	자기소개.	하이 랄라! 쩨리따 시낏 라.	
l2_d14_t05	2	대화14	C	5	Aku kerja designer, suka traveling.	디자이너, 여행 좋아.	아꾸 끄르자 디자이너, 수까 트라블링.	designer = 영어	Saya kerja designer, suka travelling.	디자이너, 여행.	사야 끄르자 디자이너, 수까 트라블링.	designer = 영어
l2_d14_t06	2	대화14	B	6	Wah cocok banget.	오 어울려.	와 쪼쪽 방엣.		Wah sesuai gila.	어울려.	와 스수아이 길라.	
l2_d14_t07	2	대화14	A	7	Sabtu kita ngumpul, mau ikut?	토 모임, 참여?	삽뚜 끼따 응움뿔, 마우 이꿋?	ngumpul = 모이다 (구어)	Sabtu kita berkumpul, nak ikut?	토 모임?	삽뚜 끼따 브르꿈뿔, 낙 이꿋?	berkumpul = 모이다 (말레이, ngumpul은 인니 구어)
l2_d14_t08	2	대화14	C	8	Boleh! Tempat?	응! 장소?	볼레! 뜸빳?		Boleh! Tempat?	장소?	볼레! 뜸빳?	
l2_d14_t09	2	대화14	B	9	Cafe Anomali Senopati.	Anomali Senopati 카페.	까페 아노말리 스노빠띠.		Common Man Bangsar.	Common Man Bangsar.	커먼 맨 방사르.	Common Man Bangsar = KL 카페 (Anomali Senopati는 자카르타)
l2_d14_t10	2	대화14	C	10	Jam berapa?	몇 시?	잠 브라빠?		Pukul berapa?	몇 시?	뿌꿀 브라빠?	
l2_d14_t11	2	대화14	A	11	Jam 11. Brunch + ngobrol.	11시. 브런치 + 수다.	잠 스블라스. 브런치 + 응오브롤.		Pukul 11. Brunch + berbual.	11시.	뿌꿀 스블라스. 브런치 + 브르부알.	berbual = 대화
l2_d14_t12	2	대화14	C	12	Sip! See you Sabtu.	응! 토 봐.	시쁘! 시 유 삽뚜.	sip = OK (구어)	OK! See you Sabtu.	토 봐.	오케이! 시 유 삽뚜.	
l2_d14_t13	2	대화14	B	13	Welcome to the gang!	환영해!	웰컴 투 더 갱!	gang = 영어	Welcome to the gang!	환영!	웰컴 투 더 갱!	gang = 영어
l2_d15_t01	2	대화15	A	1	Halo, mau booking potong rambut.	안녕, 헤어컷 예약.	할로, 마우 부킹 뽀똥 람붓.	potong rambut = 헤어컷	Helo, nak booking potong rambut.	헤어컷 예약.	헬로, 낙 부킹 뽀똥 람붓.	potong rambut = 헤어컷
l2_d15_t02	2	대화15	B	2	Kapan mau, kak?	언제, 형/언니?	까빤 마우, 깍?	kak = 호칭	Bila nak, kak?	언제, 형/언니?	빌라 낙, 깍?	kak = 호칭 (말레이/인니 공통)
l2_d15_t03	2	대화15	A	3	Sabtu sore.	토 오후.	삽뚜 소레.		Sabtu petang.	토 오후.	삽뚜 쁘땅.	
l2_d15_t04	2	대화15	B	4	Jam 3 atau 5?	3 또는 5?	잠 띠가 아따우 리마?		Pukul 3 atau 5?	3 또는 5?	뿌꿀 띠가 아따우 리마?	
l2_d15_t05	2	대화15	A	5	Jam 5. Sama Mas Andre ya.	5시. Andre 형.	잠 리마. 사마 마스 안드레 야.	Mas = 자바 호칭	Pukul 5. Dengan Encik Andre ya.	5시. Andre 형.	뿌꿀 리마. 등안 응찍 안드레 야.	Encik = 남성 호칭 (말레이, Mas는 자바)
l2_d15_t06	2	대화15	B	6	Mas Andre kosong jam 5.	Andre 5시 비어.	마스 안드레 꼬송 잠 리마.		Encik Andre kosong pukul 5.	5시 비어.	응찍 안드레 꼬송 뿌꿀 리마.	
l2_d15_t07	2	대화15	A	7	Plus warna rambut, harga berapa?	+ 염색, 가격?	플러스 와르나 람붓, 하르가 브라빠?	warna = 색	Plus warna rambut, harga berapa?	+ 염색.	플러스 와르나 람붓, 하르가 브라빠?	warna = 색
l2_d15_t08	2	대화15	B	8	Total 850K, treatment included.	총 85만, 트리트먼트 포함.	또딸 들라빤 라뚜스 리마 뿔루 까, 트리트먼트 인클루디드.		Total RM 400, treatment included.	RM 400.	또딸 알엠 음빳 라뚜스, 트리트먼트 인클루디드.	850K rupiah ≈ RM 250-400
l2_d15_t09	2	대화15	A	9	OK. Warna apa direkomendasi?	OK. 색 추천?	오께. 와르나 아빠 디레꼬멘다시?		OK. Warna apa dicadangkan?	추천?	오께. 와르나 아빠 디짜당깐?	cadang = 추천 (말레이, rekomendasi는 양쪽)
l2_d15_t10	2	대화15	B	10	Caramel ash, lagi trend.	캐러멜 애쉬 트렌드.	카라멜 애시, 라기 트렌드.	trend = 영어	Caramel ash, tengah trend.	caramel ash.	카라멜 애시, 뜨응아 트렌드.	trend = 영어
l2_d15_t11	2	대화15	A	11	Mantap. Bawa foto referensi.	좋다. 참고 사진 가져갈게.	만땁. 바와 포또 레페렌시.	referensi = 참고	Best. Bawa foto rujukan.	참고 사진.	베스. 바와 포또 루주깐.	rujukan = 참고 (말레이, referensi는 양쪽)
l2_d15_t12	2	대화15	B	12	Sip. Sampai Sabtu jam 5.	응. 토 5시.	시쁘. 삼빠이 삽뚜 잠 리마.		OK. Jumpa Sabtu pukul 5.	토 5시.	오케이. 줌빠 삽뚜 뿌꿀 리마.	
l2_d15_t13	2	대화15	A	13	Makasih, kak.	감사, 형.	마까시, 깍.		Terima kasih, kak.	감사.	뜨리마 까시, 깍.	
l2_d19_t01	2	대화16	A	1	Yoga session pagi besok masih?	내일 아침 요가?	요가 세션 빠기 베속 마시?	session = 영어	Yoga session pagi esok masih?	요가?	요가 세션 빠기 에속 마시?	session = 영어
l2_d19_t02	2	대화16	B	2	Iya! GBK jam 6.	응! GBK 6시.	이야! 게베까 잠 으남.		Ya! KLCC park pukul 6.	KLCC 6시.	야! 께엘시시 빠르크 뿌꿀 으남.	KLCC park = KL 공원 (GBK는 자카르타)
l2_d19_t03	2	대화16	A	3	Outdoor atau studio?	outdoor or studio?	아웃도어 아따우 스튜디오?	outdoor = 영어	Outdoor atau studio?	outdoor?	아웃도어 아따우 스튜디오?	
l2_d19_t04	2	대화16	B	4	Outdoor. Park GBK.	outdoor. GBK 공원.	아웃도어. 빠르크 게베까.		Outdoor. Park KLCC.	outdoor.	아웃도어. 빠르크 께엘시시.	
l2_d19_t05	2	대화16	A	5	Bawa mat sendiri ya.	매트 가져와.	바와 맷 슨디리 야.	mat = 영어	Bawa mat sendiri ya.	매트.	바와 맷 슨디리 야.	mat = 영어
l2_d19_t06	2	대화16	B	6	Pakai legging panjang, dingin.	레깅스 (추워).	빠까이 레깅 빤장, 딩인.	legging = 영어	Pakai legging panjang, sejuk.	레깅스.	빠까이 레깅 빤장, 스죽.	legging = 영어
l2_d19_t07	2	대화16	A	7	Instructor siapa?	강사?	인스트럭떠르 시아빠?	instructor = 영어	Instructor siapa?	강사?	인스트럭떠르 시아빠?	instructor = 영어
l2_d19_t08	2	대화16	B	8	Mbak Vina, certified RYT 500.	Vina 언니, RYT 500.	음박 비나, 서티파이드 알와이티 리마 라뚜스.	Mbak = 자바 여성 호칭	Cik Vina, certified RYT 500.	Vina 언니.	찍 비나, 서티파이드 알와이티 리마 라뚜스.	Cik = 여성 호칭 (말레이, Mbak는 자바)
l2_d19_t09	2	대화16	A	9	Vinyasa flow?	Vinyasa flow?	비냐사 플로우?		Vinyasa flow?	Vinyasa?	비냐사 플로우?	
l2_d19_t10	2	대화16	B	10	Iya plus restorative ending.	+ restorative 마무리.	이야 플러스 레스토라티브 엔딩.		Ya plus restorative ending.	+ restorative.	야 플러스 레스토라티브 엔딩.	
l2_d19_t11	2	대화16	A	11	Mantap, savasana favorit.	좋다, savasana.	만땁, 사바사나 파보릿.	savasana = 요가 자세	Best, savasana kegemaran.	savasana.	베스, 사바사나 끄그마란.	savasana = 요가 자세
l2_d19_t12	2	대화16	B	12	Setelah, brunch acai bowl?	후 브런치 acai?	스뜰라, 브런치 아싸이 보울?	acai = 영어	Selepas, brunch acai bowl?	브런치?	슬르빠스, 브런치 아싸이 보울?	acai = 영어
l2_d19_t13	2	대화16	A	13	Pasti! Cafe SaladStop.	꼭! SaladStop.	빠스띠! 까페 샐러드스톱.		Mestilah! Cafe SaladStop.	SaladStop.	메스띨라! 까페 샐러드스톱.	
l3_d13_t01	3	대화13	B	1	Aku sama Tono LDR Jakarta-Singapore.	Tono 와 LDR Jakarta-Singapore.	아꾸 사마 또노 엘디알 자카르타 싱가뽀르.	LDR = long distance	Saya dengan Tono LDR KL-Singapore.	Tono LDR KL-Singapore.	사야 등안 또노 엘디알 께엘 싱가뽀르.	LDR = long distance (인니 LDR Jakarta-Singapore -> KL-Singapore)
l3_d13_t02	3	대화13	A	2	Wah, lama LDR?	와, LDR 오래?	와, 라마 엘디알?		Wah, lama LDR?	LDR 오래?	와, 라마 엘디알?	
l3_d13_t03	3	대화13	B	3	8 bulan. Susah tapi we manage.	8개월. 어렵지만 잘 해.	들라빤 불란. 수사 따삐 위 매니지.	manage = 영어	8 bulan. Susah tapi we manage.	8개월.	들라빤 불란. 수사 따삐 위 매니지.	manage = 영어
l3_d13_t04	3	대화13	A	4	Berapa kali ketemu?	얼마나 자주?	브라빠 깔리 끄뜨무?		Berapa kali jumpa?	얼마나?	브라빠 깔리 줌빠?	
l3_d13_t05	3	대화13	B	5	Sebulan sekali, gantian terbang.	월 1회, 번갈아.	스불란 스깔리, 간띠안 뜨르방.	gantian = 번갈아, terbang = 비행	Sebulan sekali, bergilir terbang.	월 1회.	스불란 스깔리, 브르길리르 뜨르방.	bergilir = 번갈아 (말레이, gantian은 양쪽), terbang = 비행
l3_d13_t06	3	대화13	A	6	Mahal di tiket?	티켓 비싸?	마할 디 띠껫?		Mahal di tiket?	비싸?	마할 디 띠껫?	
l3_d13_t07	3	대화13	B	7	Iya, tapi kita save.	응, 저축.	이야, 따삐 끼따 세이브.		Ya, tapi kita simpan.	저축.	야, 따삐 끼따 심빤.	simpan = 저축
l3_d13_t08	3	대화13	A	8	Komunikasi gimana setiap hari?	매일 소통?	꼬무니까시 기마나 스띠압 하리?	komunikasi = 소통	Komunikasi macam mana setiap hari?	매일 소통?	꼬무니까시 마짬 마나 스띠압 하리?	komunikasi = 소통
l3_d13_t09	3	대화13	B	9	Video call malam, text seharian.	저녁 영상통화, 메시지 하루.	비디오 콜 말람, 텍스트 스하리안.		Video call malam, text seharian.	저녁 영상통화.	비디오 콜 말람, 텍스트 스하리안.	
l3_d13_t10	3	대화13	A	10	Kapan move bareng?	언제 같이?	까빤 무브 바릉?	move = 영어	Bila move sama-sama?	언제?	빌라 무브 사마 사마?	move = 영어
l3_d13_t11	3	대화13	B	11	Tahun depan, dia transfer Jakarta.	내년 자카르타 transfer.	따훈 드빤, 디아 트랜스퍼 자카르타.		Tahun depan, dia transfer KL.	내년 KL.	따훈 드빤, 디아 트랜스퍼 께엘.	
l3_d13_t12	3	대화13	A	12	Wah, plan matang.	와, 잘 계획.	와, 플랜 마땅.		Wah, plan matang.	잘 계획.	와, 플랜 마땅.	
l3_d13_t13	3	대화13	B	13	Iya, LDR mengajar sabar.	LDR 인내 가르침.	이야, 엘디알 믕아자르 사바르.		Ya, LDR ajar sabar.	LDR 인내 가르침.	야, 엘디알 아자르 사바르.	
l3_d13_t14	3	대화13	A	14	Semoga lancar ya.	잘되길.	스모가 란짜르 야.		Semoga lancar ya.	잘되길.	스모가 란짜르 야.	
l3_d14_t01	3	대화14	A	1	Aku suka teman aku.	친구 좋아해.	아꾸 수까 뜨만 아꾸.		Saya suka kawan saya.	친구 좋아해.	사야 수까 까완 사야.	
l3_d14_t02	3	대화14	B	2	Wah, siapa?	와, 누구?	와, 시아빠?		Wah, siapa?	누구?	와, 시아빠?	
l3_d14_t03	3	대화14	A	3	Nadia, kerja sama satu kantor.	Nadia, 같은 회사.	나디아, 끄르자 사마 사뚜 깐또르.		Nadia, kerja sama satu pejabat.	같은 회사.	나디아, 끄르자 사마 사뚜 쁘자밧.	pejabat = 회사 (말레이, kantor는 인니)
l3_d14_t04	3	대화14	B	4	Sudah berapa lama?	얼마 됐어?	수다 브라빠 라마?		Dah berapa lama?	얼마?	다 브라빠 라마?	
l3_d14_t05	3	대화14	A	5	6 bulan. Dia tahu nggak?	6개월. 알아?	으남 불란. 디아 따후 응각?		6 bulan. Dia tahu tak?	6개월.	으남 불란. 디아 따후 딱?	
l3_d14_t06	3	대화14	B	6	Kayaknya dia suspect.	의심하는 듯.	까야꺄 디아 서스펙트.	suspect = 영어	Nampaknya dia syak.	의심하는 듯.	남빡냐 디아 샥.	syak = 의심 (말레이, suspect은 영어)
l3_d14_t07	3	대화14	A	7	Aku takut kalau ditolak rusak friendship.	거절되면 우정 깨질까.	아꾸 따꿋 깔라우 디똘락 루삭 프렌드십.	friendship = 영어	Saya takut kalau ditolak rosak friendship.	거절 우정 깨짐.	사야 따꿋 깔라우 디똘락 로삭 프렌드십.	rosak = 망가지다 (말레이, rusak은 인니), friendship = 영어
l3_d14_t08	3	대화14	B	8	Risiko universal.	보편적 리스크.	리시꼬 유니버살.	risiko = 리스크	Risiko universal.	보편적.	리시꼬 유니버살.	risiko = 리스크
l3_d14_t09	3	대화14	A	9	Tapi kalau diam, regret.	근데 침묵하면 후회.	따삐 깔라우 디암, 리그렛.	regret = 영어	Tapi kalau diam, regret.	침묵하면 후회.	따삐 깔라우 디암, 리그렛.	regret = 영어
l3_d14_t10	3	대화14	B	10	Confess pelan-pelan.	천천히 고백.	컨페스 쁠란 쁠란.		Confess perlahan-lahan.	천천히.	컨페스 쁘를라한 라한.	
l3_d14_t11	3	대화14	A	11	Mulai dari makan siang berdua.	둘이 점심부터.	물라이 다리 마깐 시앙 브르두아.		Mula dari makan tengahari berdua.	둘이 점심.	물라 다리 마깐 뜽아하리 브르두아.	
l3_d14_t12	3	대화14	B	12	Iya, baca sinyalnya.	응, 신호 봐.	이야, 바짜 신얄냐.	sinyal = 신호	Ya, baca isyaratnya.	신호.	야, 바짜 이샤랏냐.	isyarat = 신호 (말레이, sinyal은 양쪽)
l3_d14_t13	3	대화14	A	13	Aku try minggu ini.	이번 주 시도.	아꾸 트라이 밍구 이니.		Saya try minggu ni.	시도.	사야 트라이 밍구 니.	
l3_d14_t14	3	대화14	B	14	Update aku ya!	업데이트해!	업데이트 아꾸 야!		Update saya ya!	업데이트!	업데이트 사야 야!	
l3_d15_t01	3	대화15	A	1	Hai, kamu Bumble kan?	안녕, Bumble 맞지?	하이, 까무 범블 깐?	Bumble = 데이팅 앱	Hai, awak Bumble kan?	Bumble?	하이, 아왁 범블 깐?	Bumble = 데이팅 앱
l3_d15_t02	3	대화15	B	2	Iya, kamu Rangga ya?	응, Rangga?	이야, 까무 랑가 야?		Ya, awak Rangga ya?	Rangga?	야, 아왁 랑가 야?	
l3_d15_t03	3	대화15	A	3	Iya. Senang kenal langsung.	응. 만나서 반가워.	이야. 스낭 끄날 랑숭.		Ya. Best jumpa langsung.	만나서 반가워.	야. 베스 줌빠 랑숭.	
l3_d15_t04	3	대화15	B	4	Kamu lebih ganteng dari foto.	사진보다 잘생김.	까무 르비 간뜽 다리 포또.		Awak lebih kacak dari foto.	잘생김.	아왁 르비 까짝 다리 포또.	
l3_d15_t05	3	대화15	A	5	Wah, makasih. Kamu juga cantik.	와, 감사. 너도 예뻐.	와, 마까시. 까무 주가 짠띡.		Wah, terima kasih. Awak pun cantik.	예뻐.	와, 뜨리마 까시. 아왁 뿐 짠띡.	
l3_d15_t06	3	대화15	B	6	Kerja apa?	일?	끄르자 아빠?		Kerja apa?	일?	끄르자 아빠?	
l3_d15_t07	3	대화15	A	7	Marketing agency.	Marketing agency.	마케팅 에이전시.		Marketing agency.	Marketing.	마케팅 에이전시.	
l3_d15_t08	3	대화15	B	8	Aku UX designer.	UX designer.	아꾸 유엑스 디자이너.		Saya UX designer.	UX designer.	사야 유엑스 디자이너.	
l3_d15_t09	3	대화15	A	9	Wah, creative juga.	오 창의적.	와, 크리에티브 주가.	creative = 영어	Wah, kreatif juga.	창의적.	와, 크레아띠프 주가.	kreatif = 창의 (말레이 철자, creative는 영어)
l3_d15_t10	3	대화15	B	10	Hobi kamu apa?	취미?	호비 까무 아빠?	hobi = 영어	Hobi awak apa?	취미?	호비 아왁 아빠?	hobi = 영어
l3_d15_t11	3	대화15	A	11	Hiking, fotografi.	등산, 사진.	하이킹, 포또그라피.		Hiking, fotografi.	등산, 사진.	하이킹, 포또그라피.	
l3_d15_t12	3	대화15	B	12	Sama! Aku suka traveling juga.	같아! 여행도.	사마! 아꾸 수까 트라블링 주가.		Sama! Saya suka travelling juga.	여행도.	사마! 사야 수까 트라블링 주가.	
l3_d15_t13	3	대화15	A	13	Mau hiking bareng kapan?	같이 등산?	마우 하이킹 바릉 까빤?		Nak hiking sama-sama bila?	등산?	낙 하이킹 사마 사마 빌라?	
