id_suffix	course	dialogue_id	speaker	dialogue_order	target_text	ko_text	romanization	note	tags	context	extra
l2_d18_t02	2	대화18	B	2	Pedas atau tidak?	맵게? 안 맵게?	쁘다스 아따우 띠닥?	pedas = 매운	'{new}'		와룽
l2_d18_t03	2	대화18	A	3	Sedang aja.	중간으로.	스당 아자.		'{new}'		와룽
l2_d18_t04	2	대화18	B	4	Pakai telur?	계란?	빠까이 뜰루르?	telur = 계란	'{new}'	나시고렝 추가옵션	와룽
l2_d18_t05	2	대화18	A	5	Pakai. Sama es teh.	넣어. 아이스티도.	빠까이. 사마 에스 떼.	es teh = 아이스티	'{new}'		와룽
l2_d18_t06	2	대화18	B	6	Tunggu 10 menit.	10분 기다려.	뚱구 스뿔루 므닛.		'{new}'		와룽
l2_d18_t07	2	대화18	A	7	Berapa total?	얼마?	브라빠 또딸?		'{new}'		와룽
l2_d18_t08	2	대화18	B	8	25 ribu.	2만5천.	두아 뿔루 리마 리부.	ribu = 천	'{new}'	인니 화폐 단위	와룽
l2_d18_t09	2	대화18	A	9	Bisa pakai QRIS?	QRIS 돼?	비사 빠까이 끄리스?	QRIS = 인니 QR 결제	'{new}'	인니 결제 시스템	와룽
l2_d18_t10	2	대화18	B	10	Bisa, ada di sana.	돼, 저기.	비사, 아다 디 사나.		'{new}'		와룽
l3_d16_t01	3	대화16	A	1	Maaf, ini kursinya kosong?	실례, 여기 자리 비었어요?	마아프, 이니 꾸르시냐 꼬송?		'{new,romance}'		자카르타 카페
l3_d16_t02	3	대화16	B	2	Kosong. Silakan.	비어있어요. 앉으세요.	꼬송. 실라깐.		'{new,romance}'		카페
l3_d16_t03	3	대화16	A	3	Saya Andi. Kuliah di mana?	안디예요. 어느 대학?	사야 안디. 꿀리아 디 마나?	kuliah = 대학	'{new,romance}'		카페
l3_d16_t04	3	대화16	B	4	Sari, UI. Kamu?	사리, UI. 너는?	사리, 우이. 까무?	UI = Universitas Indonesia	'{new,romance}'	인니 1위 대학	카페
l3_d16_t05	3	대화16	A	5	ITB Bandung.	ITB 반둥.	이떼베 반둥.		'{new,romance}'	인니 공대 명문	카페
l3_d16_t06	3	대화16	B	6	Mantap. Lagi liburan?	좋네. 방학이야?	만땁. 라기 리부란?	mantap = 좋다 (구어)	'{new,romance}'		카페
l3_d16_t07	3	대화16	A	7	Iya, mau ke Bali besok.	응, 내일 발리 가.	이야, 마우 끄 발리 베속.		'{new,romance}'		카페
l3_d16_t08	3	대화16	B	8	Asyik. Sendirian?	좋겠다. 혼자?	아식. 슨디리안?		'{new,romance}'		카페
l3_d16_t09	3	대화16	A	9	Iya. Mau ikut?	응. 같이 갈래?	이야. 마우 이꿋?		'{new,romance}'	직설적 (구어)	카페
l3_d16_t10	3	대화16	B	10	Berani amat. Kasih nomor dulu.	용감하네. 일단 번호 줘.	브라니 아맛. 까시 노모르 둘루.		'{new,romance}'		카페
l3_d17_t01	3	대화17	A	1	Bapak nggak setuju kamu pacaran sama Andi.	아빠가 안디랑 만나는 거 반대.	바빡 응각 스뚜주 까무 빠짜란 사마 안디.	pacaran = 사귀다	'{new,romance,family,conflict}'		집 — 부모 반대
l3_d17_t02	3	대화17	B	2	Kenapa Pak?	왜 아빠?	끄나빠 빡?		'{new,romance,family,conflict}'		집
l3_d17_t03	3	대화17	A	3	Beda agama.	종교가 달라.	베다 아가마.	agama = 종교	'{new,romance,family,conflict}'	인니: 종교 결혼 큰 이슈	집
l3_d17_t04	3	대화17	B	4	Kami masih pacaran.	우린 아직 데이트야.	까미 마시 빠짜란.		'{new,romance,family,conflict}'		집
l3_d17_t05	3	대화17	A	5	Pacaran ujungnya nikah.	데이트가 결혼으로 가지.	빠짜란 우중냐 니까.	nikah = 결혼	'{new,romance,family,conflict}'		집
l3_d17_t06	3	대화17	B	6	Kalau cinta gimana?	사랑하면?	깔라우 찐따 기마나?	cinta = 사랑	'{new,romance,family,conflict}'		집
l3_d17_t07	3	대화17	A	7	Cinta nggak cukup di sini.	사랑만으로 안 돼.	찐따 응각 쭈꿉 디 시니.		'{new,romance,family,conflict}'		집
l3_d17_t08	3	대화17	B	8	Aku berhak pilih sendiri.	내가 선택할 권리.	아꾸 브르학 삘리 슨디리.		'{new,romance,family,conflict}'		집
l3_d17_t09	3	대화17	A	9	Bapak cuma mau yang terbaik.	아빠는 너 잘되길 바라는 거.	바빡 쭈마 마우 양 뜨르바익.		'{new,romance,family,conflict}'		집
l3_d17_t10	3	대화17	B	10	Beri kami kesempatan.	기회 주세요.	브리 까미 끄슴빠딴.		'{new,romance,family,conflict}'		집
l4_d16_t01	4	대화16	A	1	Bu, ini berapa?	아주머니, 이거 얼마예요?	부, 이니 브라빠?		'{new,travel,negotiation}'		발리 우붓 시장
l4_d16_t02	4	대화16	B	2	300 ribu, Mister.	30만, Mister.	띠가 라뚜스 리부, 미스떠르.	Mister = 외국인 호칭	'{new,travel,negotiation}'	발리 외국인 가격	시장
l4_d16_t03	4	대화16	A	3	Mahal! 100 ribu ya.	비싸! 10만으로.	마할! 스라뚜스 리부 야.	mahal = 비싼	'{new,travel,negotiation}'		시장
l4_d16_t04	4	대화16	B	4	Wah, rugi.	아이고, 손해.	와, 루기.	rugi = 손해	'{new,travel,negotiation}'		시장
l4_d16_t05	4	대화16	A	5	150 ribu terakhir.	15만 최종.	스라뚜스 리마 뿔루 리부 뜨라키르.		'{new,travel,negotiation}'		시장
l4_d16_t06	4	대화16	B	6	Oke, ambil.	OK, 가져가.	오께, 암빌.		'{new,travel,negotiation}'		시장
l4_d16_t07	4	대화16	A	7	Bayar tunai?	현금?	바야르 뚜나이?	tunai = 현금	'{new,travel,negotiation}'		시장
l4_d16_t08	4	대화16	B	8	Tunai aja, Mas.	현금만, 형.	뚜나이 아자, 마스.		'{new,travel,negotiation}'		시장
l4_d16_t09	4	대화16	A	9	Terima kasih, Bu.	감사해요, 아주머니.	뜨리마 까시, 부.		'{new,travel,negotiation}'		시장
l4_d16_t10	4	대화16	B	10	Sama-sama. Hati-hati.	천만에. 조심.	사마 사마. 하띠 하띠.		'{new,travel,negotiation}'		시장
l4_d17_t01	4	대화17	A	1	Pak, Pantai Kuta ya.	쿠타 비치요.	빡, 빤따이 꾸따 야.	pantai = 해변	'{new,travel}'	발리 유명 비치	Grab 발리
l4_d17_t02	4	대화17	B	2	Naik aja, Mas.	타세요.	나익 아자, 마스.		'{new,travel}'		Grab
l4_d17_t03	4	대화17	A	3	Macet?	막혀요?	마쩻?		'{new,travel}'		Grab
l4_d17_t04	4	대화17	B	4	Sore selalu macet.	저녁엔 늘 막혀.	소레 슬랄루 마쩻.		'{new,travel}'	발리 교통체증	Grab
l4_d17_t05	4	대화17	A	5	Berapa lama?	얼마나?	브라빠 라마?		'{new,travel}'		Grab
l4_d17_t06	4	대화17	B	6	30 menit kalau lancar.	뚫리면 30분.	띠가 뿔루 므닛 깔라우 란짜르.	lancar = 매끄러운	'{new,travel}'		Grab
l4_d17_t07	4	대화17	B	7	Pertama kali ke Bali?	발리 처음?	쁘르따마 깔리 끄 발리?		'{new,travel}'		Grab
l4_d17_t08	4	대화17	A	8	Iya. Saya dari Korea.	응. 한국에서.	이야. 사야 다리 꼬레아.		'{new,travel}'		Grab
l4_d17_t09	4	대화17	B	9	Korea! K-pop ya.	한국! K-팝!	꼬레아! 께뽑 야.		'{new,travel}'	인니 한류	Grab
l4_d17_t10	4	대화17	A	10	Iya, banyak fans di sini.	응, 여기 팬 많아.	이야, 바냑 팬스 디 시니.		'{new,travel}'		Grab
l4_d18_t01	4	대화18	A	1	Halo Sari, sudah balik Korea.	안녕 사리, 한국 돌아왔어.	할로 사리, 수다 발릭 꼬레아.		'{new,travel,romance,messenger}'		WhatsApp
l4_d18_t02	4	대화18	B	2	Kupikir kamu nggak akan chat.	연락 안 할 줄.	꾸삐끼르 까무 응각 아깐 챗.		'{new,travel,romance,messenger}'	사용자 요청	WhatsApp
l4_d18_t03	4	대화18	A	3	Aku juga pikir kamu begitu.	나도 너 그럴 줄.	아꾸 주가 삐끼르 까무 브기뚜.		'{new,travel,romance,messenger}'		WhatsApp
l4_d18_t04	4	대화18	B	4	Tetap kontakan ya?	연락하고 지내?	뜨땁 꼰딱깐 야?		'{new,travel,romance,messenger}'	사용자 요청	WhatsApp
l4_d18_t05	4	대화18	A	5	Pasti.	당연.	빠스띠.		'{new,travel,romance,messenger}'		WhatsApp
l4_d18_t06	4	대화18	B	6	Bali kangen kamu.	발리가 그리워해.	발리 깡엔 까무.		'{new,travel,romance,messenger}'		WhatsApp
l4_d18_t07	4	대화18	A	7	Aku juga.	나도.	아꾸 주가.		'{new,travel,romance,messenger}'		WhatsApp
l4_d18_t08	4	대화18	B	8	Datang lagi ya.	또 와.	다땅 라기 야.		'{new,travel,romance,messenger}'		WhatsApp
l4_d18_t09	4	대화18	A	9	Atau kamu ke Korea.	아님 너 한국 와.	아따우 까무 끄 꼬레아.		'{new,travel,romance,messenger}'		WhatsApp
l4_d18_t10	4	대화18	B	10	Boleh juga.	가능.	볼레 주가.		'{new,travel,romance,messenger}'		WhatsApp
l6_d16_t01	6	대화16	A	1	Kamu nginep?	잘 거야?	까무 응이넙?	nginep = 자다 (구어)	'{new,intimate}'		집
l6_d16_t02	6	대화16	B	2	Kalau kamu mau.	원하면.	깔라우 까무 마우.		'{new,intimate}'		집
l6_d16_t03	6	대화16	A	3	Mau.	원해.	마우.		'{new,intimate}'		집
l6_d16_t04	6	대화16	B	4	Kondom ada?	콘돔 있어?	꼰돔 아다?		'{new,intimate}'		집
l6_d16_t05	6	대화16	A	5	Ada di laci.	서랍에.	아다 디 라찌.	laci = 서랍	'{new,intimate}'		집
l6_d16_t06	6	대화16	B	6	Pelan-pelan ya.	천천히.	쁠란 쁠란 야.		'{new,intimate}'		집
l6_d16_t07	6	대화16	A	7	Sesuai kamu.	니 페이스.	스수아이 까무.		'{new,intimate}'		집
l6_d16_t08	6	대화16	B	8	Makasih udah ngerti.	이해해줘 고마워.	마까시 우다 응으르띠.		'{new,intimate}'		집
l6_d16_t09	6	대화16	A	9	Wajar.	당연.	와자르.		'{new,intimate}'		집
l6_d16_t10	6	대화16	B	10	Sini.	와.	시니.		'{new,intimate}'		집
l6_d17_t01	6	대화17	A	1	Aku nggak bisa menikah beda agama.	다른 종교 결혼 못 해.	아꾸 응각 비사 므니까 베다 아가마.		'{new,family,conflict}'	인니 종교 결혼 큰 이슈	집 — 종교 충돌
l6_d17_t02	6	대화17	B	2	Aku bisa pindah agama.	내가 개종할게.	아꾸 비사 삔다 아가마.	pindah agama = 개종	'{new,family,conflict}'		집
l6_d17_t03	6	대화17	A	3	Itu pilihan kamu, bukan paksaan.	강요 아닌 선택이어야지.	이뚜 삘리한 까무, 부깐 빡사안.		'{new,family,conflict}'		집
l6_d17_t04	6	대화17	B	4	Aku rela demi kamu.	너 위해 기꺼이.	아꾸 를라 드미 까무.	rela = 기꺼이	'{new,family,conflict}'		집
l6_d17_t05	6	대화17	A	5	Itu berat, jangan terburu-buru.	쉽지 않아, 서두르지 마.	이뚜 브랏, 장안 뜨르부루 부루.		'{new,family,conflict}'		집
l6_d17_t06	6	대화17	B	6	Aku sudah mikir matang.	충분히 생각했어.	아꾸 수다 미끼르 마땅.	matang = 성숙한	'{new,family,conflict}'		집
l6_d17_t07	6	대화17	A	7	Keluargamu tahu?	가족은?	끌루아르가무 따후?		'{new,family,conflict}'		집
l6_d17_t08	6	대화17	B	8	Belum. Mereka pasti shock.	아직. 충격 받을 거야.	블룸. 므레까 빠스띠 쇽.		'{new,family,conflict}'		집
l6_d17_t09	6	대화17	A	9	Bicara dulu sama mereka.	먼저 얘기해봐.	비짜라 둘루 사마 므레까.		'{new,family,conflict}'		집
l6_d17_t10	6	대화17	B	10	Akhir minggu aku coba.	주말에 시도.	아키르 밍구 아꾸 쪼바.		'{new,family,conflict}'		집
l6_d18_t01	6	대화18	A	1	Sebelum nikah, kamu harus pindah agama.	결혼 전에 너 개종해야 해.	스블룸 니까, 까무 하루스 삔다 아가마.	pindah agama = 개종	'{new,family,conflict}'	종교 강요 — 거부 narrative	집 — 종교 강요 거부
l6_d18_t02	6	대화18	B	2	Aku nggak bisa.	못 해.	아꾸 응각 비사.		'{new,family,conflict}'		집
l6_d18_t03	6	대화18	A	3	Kenapa? Demi kita.	왜? 우리를 위해.	끄나빠? 드미 끼따.		'{new,family,conflict}'		집
l6_d18_t04	6	대화18	B	4	Iman bukan barang tukar.	믿음은 거래 아니야.	이만 부깐 바랑 뚜까르.	iman = 신앙 (이슬람·기독교 공통)	'{new,family,conflict}'	한국 남성 무종교/기독교 → 거부	집
l6_d18_t05	6	대화18	A	5	Keluargaku nggak akan terima.	우리 가족 안 받아들여.	끌루아르가꾸 응각 아깐 뜨리마.	terima = 받아들이다	'{new,family,conflict}'		집
l6_d18_t06	6	대화18	B	6	Aku ngerti, tapi aku tetap aku.	이해해, 그래도 나는 나야.	아꾸 응으르띠, 따삐 아꾸 뜨땁 아꾸.	tetap = 여전히	'{new,family,conflict}'	신앙 정체성 거부	집
l6_d18_t07	6	대화18	A	7	Jadi gimana?	그럼 어떡해?	자디 기마나?		'{new,family,conflict}'		집
l6_d18_t08	6	대화18	B	8	Kita pikir cara lain.	다른 방법 생각해보자.	끼따 삐끼르 짜라 라인.	cara = 방법	'{new,family,conflict}'	절충 모색	집
l6_d18_t09	6	대화18	A	9	Mungkin pisah lebih baik.	헤어지는 게 나을지도.	뭉낀 삐사 르비 바익.	pisah = 헤어지다	'{new,family,conflict}'	결렬 가능성	집
l6_d18_t10	6	대화18	B	10	Kalau itu pilihanmu, aku hormati.	그게 네 선택이면 존중해.	깔라우 이뚜 삘리한무, 아꾸 호르마띠.	hormati = 존중하다	'{new,family,conflict}'	거부 결말 — 상호 존중	집
l6_d19_t01	6	대화19	A	1	Match Tinder kemarin udah minta foto KTP.	어제 매치가 신분증 사진 요구해.	마쯔 띤더르 끄마린 우다 민따 포또 까떼뻬.	KTP = Kartu Tanda Penduduk (인니 신분증)	'{new,dating,red_flag}'	red flag — 신분 정보 요구	Tinder — 사기 의심
l6_d19_t02	6	대화19	B	2	Hapus aja. Itu scam.	지워. 그건 사기야.	하뿌스 아자. 이뚜 스깸.	hapus = 지우다	'{new,dating,red_flag}'	safety 친구 조언	WhatsApp
l6_d19_t03	6	대화19	A	3	Tapi orangnya kayak baik.	근데 사람은 좋아 보였어.	따삐 오랑냐 까야 바익.	kayak = ~같이 (구어, seperti)	'{new,dating,red_flag}'	순진한 반응	WhatsApp
l6_d19_t04	6	대화19	B	4	Foto profil cuma satu?	프사 하나만이야?	포또 프로필 쭈마 사뚜?		'{new,dating,red_flag}'	red flag 신호	WhatsApp
l6_d19_t05	6	대화19	A	5	Iya, modelan.	응, 모델 같은.	이야, 모델란.	modelan = 모델 같은 (구어)	'{new,dating,red_flag}'		WhatsApp
l6_d19_t06	6	대화19	B	6	Pasti palsu. Reverse image search dulu.	가짜 확실. 역검색 해봐.	빠스띠 빨수. 리버스 이미지 서치 둘루.	palsu = 가짜	'{new,dating,red_flag}'	실용 안전 팁	WhatsApp
l6_d19_t07	6	대화19	A	7	Cara gimana?	어떻게?	짜라 기마나?		'{new,dating,red_flag}'		WhatsApp
l6_d19_t08	6	대화19	B	8	Google Lens, drag fotonya.	구글 렌즈에 사진 드래그.	구글 렌즈, 드래그 포또냐.		'{new,dating,red_flag}'		WhatsApp
l6_d19_t09	6	대화19	A	9	Eh, muncul akun lain pake foto sama.	어, 다른 계정도 같은 사진 써.	에, 문쭐 아꾼 라인 빠께 포또 사마.	muncul = 나타나다, pake = pakai 구어	'{new,dating,red_flag}'	결정적 증거	WhatsApp
l6_d19_t10	6	대화19	B	10	Block. Lain kali video call dulu.	차단. 다음엔 영상통화 먼저.	블록. 라인 깔리 비디오 콜 둘루.		'{new,dating,red_flag}'	red flag 교육	WhatsApp
l6_d20_t01	6	대화20	A	1	Cantik, sendirian?	예쁜데, 혼자야?	짠띡, 슨디리안?	cantik = 예쁘다, sendirian = 혼자	'{new,nightlife,boundary}'	낯선 남 합석 시도	클럽 SCBD
l6_d20_t02	6	대화20	B	2	Lagi nunggu temen.	친구 기다려.	라기 눙구 뜨믄.	nunggu = menunggu 구어	'{new,nightlife,boundary}'	정중 거리 두기	클럽
l6_d20_t03	6	대화20	A	3	Aku temenin sebentar.	잠깐 같이 있어줄게.	아꾸 뜨므닌 스븐따르.	temenin = menemani 구어	'{new,nightlife,boundary}'	계속 합석 시도	클럽
l6_d20_t04	6	대화20	B	4	Makasih, tapi nggak usah.	고맙지만 됐어.	마까시, 따삐 응각 우사.	nggak usah = 필요 없다	'{new,nightlife,boundary}'	명확 거절	클럽
l6_d20_t05	6	대화20	A	5	Cuma ngobrol doang.	그냥 얘기만.	쭈마 응오브롤 도앙.	doang = 그냥 (구어)	'{new,nightlife,boundary}'	계속 시도	클럽
l6_d20_t06	6	대화20	B	6	Aku lagi nggak mood.	기분 아냐.	아꾸 라기 응각 무드.	mood = 영어 차용	'{new,nightlife,boundary}'	boundary 강조	클럽
l6_d20_t07	6	대화20	A	7	Boleh nomor?	번호 줄래?	볼레 노모르?		'{new,nightlife,boundary}'		클럽
l6_d20_t08	6	대화20	B	8	Maaf, nggak bagi.	미안, 안 줘.	마앞, 응각 바기.	bagi = 나눠주다	'{new,nightlife,boundary}'	단호한 NO	클럽
l6_d20_t09	6	대화20	A	9	Yaudah deh.	그럼 됐어.	야우다 데.	yaudah = 그럼 (구어)	'{new,nightlife,boundary}'	물러남	클럽
l6_d20_t10	6	대화20	B	10	Selamat malam.	잘 가.	슬라맛 말람.		'{new,nightlife,boundary}'		클럽
l6_d21_t01	6	대화21	B	1	Itu siapa di story kamu?	니 스토리 그 사람 누구야?	이뚜 시아빠 디 스또리 까무?	story = IG 스토리	'{new,jealousy}'	IG 사진 발견	집 — IG 의심
l6_d21_t02	6	대화21	A	2	Mantan teman SMA.	고등학교 친구.	만딴 뜨만 에스엠아.	mantan = 전(前), SMA = 고등학교	'{new,jealousy}'	해명 시작	집
l6_d21_t03	6	대화21	B	3	Kok cuma berdua?	왜 둘이만?	꼭 쭈마 브르두아?	kok = 왜 (구어)	'{new,jealousy}'	의심 추궁	집
l6_d21_t04	6	대화21	A	4	Reuni kecil kemarin.	어제 작은 모임.	르우니 끄찔 끄마린.	reuni = 동창회	'{new,jealousy}'		집
l6_d21_t05	6	대화21	B	5	Aku nggak diundang.	나 초대 안 했어.	아꾸 응각 디운당.	diundang = 초대받다	'{new,jealousy}'	서운함	집
l6_d21_t06	6	대화21	A	6	Bukan acara couple.	커플 자리 아니라.	부깐 아짜라 쪼우플.	acara = 행사	'{new,jealousy}'	해명	집
l6_d21_t07	6	대화21	B	7	Tetap aja kasih tahu.	그래도 알려줬어야지.	뜨땁 아자 까시 따후.	kasih tahu = 알려주다	'{new,jealousy}'	신뢰 issue	집
l6_d21_t08	6	대화21	A	8	Maaf, lupa.	미안, 깜빡.	마앞, 루빠.		'{new,jealousy}'	사과	집
l6_d21_t09	6	대화21	B	9	Lain kali tag aku.	다음엔 태그해.	라인 깔리 딱 아꾸.	tag = IG 태그	'{new,jealousy}'	신뢰 회복 합의	집
l6_d21_t10	6	대화21	A	10	Oke, janji.	오케이, 약속.	오께, 잔지.	janji = 약속	'{new,jealousy}'		집
l6_d22_t01	6	대화22	A	1	Kamu mau?	원해?	까무 마우?	mau = 원하다 (consent 핵심 동사)	'{new,intimate,consent}'	consent 명확 질문	호텔 — consent
l6_d22_t02	6	대화22	B	2	Aku ragu.	망설여져.	아꾸 라구.	ragu = 망설이다	'{new,intimate,consent}'	명확 망설임	호텔
l6_d22_t03	6	대화22	A	3	Kita stop.	그만하자.	끼따 스똡.	stop = 영어 차용	'{new,intimate,consent}'	pause 즉시 — consent withdrawal 존중	호텔
l6_d22_t04	6	대화22	B	4	Bukan soal kamu.	너 때문 아냐.	부깐 소알 까무.	soal = 문제	'{new,intimate,consent}'	안심	호텔
l6_d22_t05	6	대화22	A	5	Kapan kamu siap, kasih tahu.	준비되면 알려줘.	까빤 까무 시압, 까시 따후.	siap = 준비되다	'{new,intimate,consent}'	시간 존중	호텔
l6_d22_t06	6	대화22	B	6	Aku takut tergesa.	서두를까 무서워.	아꾸 따꿋 뜨르그사.	tergesa = 서두름	'{new,intimate,consent}'		호텔
l6_d22_t07	6	대화22	A	7	Nggak ada yang dipaksa.	강요 없어.	응각 아다 양 디빡사.	dipaksa = 강요받다	'{new,intimate,consent}'	consent 원칙 명시	호텔
l6_d22_t08	6	대화22	B	8	Makasih sabar.	인내심 고마워.	마까시 사바르.	sabar = 인내	'{new,intimate,consent}'		호텔
l6_d22_t09	6	대화22	A	9	Tidur aja yuk.	그냥 자자.	띠두르 아자 육.	yuk = ~하자 (구어 권유)	'{new,intimate,consent}'	대안 제시	호텔
l6_d22_t10	6	대화22	B	10	Peluk doang.	안고만.	쁠룩 도앙.	peluk = 포옹	'{new,intimate,consent}'	boundary OK + 친밀 유지	호텔
l1_d01_t01	1	대화01	A	1	Halo, selamat pagi.	안녕, 좋은 아침.	할로, 슬라맛 빠기.	selamat pagi = 좋은 아침 (5-10시)	'{essential,greeting}'	아침 인사	아침 인사
l1_d01_t02	1	대화01	B	2	Pagi! Apa kabar?	좋은 아침! 잘 지내?	빠기! 아빠 까바르?	apa kabar = 안부 묻기 표준	'{essential,greeting}'		아침 인사
l1_d01_t03	1	대화01	A	3	Baik, terima kasih. Kamu?	좋아, 고마워. 너는?	바익, 뜨리마 까시. 까무?	baik = 좋다	'{essential,greeting}'		아침 인사
l1_d01_t04	1	대화01	B	4	Baik juga.	나도 좋아.	바익 주가.	juga = 또한, 도	'{essential,greeting}'		아침 인사
l1_d01_t05	1	대화01	A	5	Senang bertemu kamu.	만나서 반가워.	스낭 브르뜨무 까무.	bertemu = 만나다	'{essential,greeting}'		아침 인사
l1_d01_t06	1	대화01	B	6	Senang bertemu juga.	나도 반가워.	스낭 브르뜨무 주가.		'{essential,greeting}'		아침 인사
l1_d02_t01	1	대화02	A	1	Nama saya Min-jun.	제 이름은 민준.	나마 사야 민준.	nama = 이름, saya = 저 (정중)	'{essential,intro}'	한국 학습자 시각	첫 만남
l1_d02_t02	1	대화02	B	2	Saya Sari. Senang berkenalan.	저는 사리. 알게 되어 반가워요.	사야 사리. 스낭 브르끄날란.	berkenalan = 알게 되다	'{essential,intro}'		첫 만남
l1_d02_t03	1	대화02	A	3	Saya dari Korea.	저는 한국에서.	사야 다리 꼬레아.	dari = ~에서	'{essential,intro}'		첫 만남
l1_d02_t04	1	대화02	B	4	Wah, saya dari Indonesia, Jakarta.	와, 저는 인도네시아 자카르타.	와, 사야 다리 인도네시아, 자카르타.	wah = 감탄사	'{essential,intro}'		첫 만남
l1_d02_t05	1	대화02	A	5	Berapa umur kamu?	몇 살이에요?	브라빠 우무르 까무?	umur = 나이	'{essential,intro}'		첫 만남
l1_d02_t06	1	대화02	B	6	Saya dua puluh tujuh tahun.	저는 27살.	사야 두아 뿔루 뚜주 따훈.	tahun = 년/살	'{essential,intro}'	숫자 학습 노출	첫 만남
l1_d03_t01	1	대화03	A	1	Terima kasih banyak.	정말 감사해요.	뜨리마 까시 바냑.	terima kasih = 감사, banyak = 많이	'{essential,thanks}'	길에서 도움 받음	감사
l1_d03_t02	1	대화03	B	2	Sama-sama.	천만에요.	사마 사마.	천만에 대답 표준	'{essential,thanks}'		감사
l1_d03_t03	1	대화03	A	3	Tanpa kamu, aku bingung.	당신 없이 못 했어.	딴빠 까무, 아꾸 빙웅.	tanpa = 없이, bingung = 혼란	'{essential,thanks}'	친근 톤 (aku)	감사
l1_d03_t04	1	대화03	B	4	Tidak apa-apa.	괜찮아요.	띠닥 아빠 아빠.	괜찮다 표준	'{essential,thanks}'		감사
l1_d03_t05	1	대화03	A	5	Saya hutang budi.	신세 졌어요.	사야 후땅 부디.	hutang budi = 신세 (관용)	'{essential,thanks}'	관용 표현	감사
l1_d03_t06	1	대화03	B	6	Lain kali kita ngopi.	다음에 커피 한잔.	라인 깔리 끼따 응오삐.	ngopi = 커피 한잔 (구어 동사)	'{essential,thanks}'	구어 표현	감사
